testo_corretto;count
relazione d aiuto assistito caregiver caregiver;1
relazione d aiuto caregiver;1
relazione d aiuto e colloquio con i familiare;1
relazione d ascolto terapeutica;1
relazione di aiuto;1
terapia infusiva sottocute instramuscolare;1
terapia infusiva sottocute ed endovena;1
relazione di cura;1
relazione e supporto caregiver;1
relazione con il caregiver;1
programmazione presa in carico a domicilio assistenza domiciliare integrata;1
promozione a corretto stile di vita;1
promozione alla salute;1
promozione corretto stile di vita;1
terapia iniettivo muscolare;1
promozione di comportamento di vita sano lifesyle;1
promozione stile corretto di vita;1
promozione stile di vita corretto;1
promuovere l autonomia della famiglia auto efficienza;1
proposta approvvigionamento presidi sanitario;1
protocollo sostituzione catetere vescicale;1
prova parametri;1
terapia iniettivo intramuscolare o sotto cutanea;1
terapia iniettivo intramuscolare e sotto cutanea;1
terapia iniettivo instramuscolare;1
terapia iniettiva instramuscolare;1
terapia iniettiva instramuscolare sottocute endovena;1
rapporto con caregiver;1
raccordo telefonica con curante e familiare;1
terapia iniettiva intramuscolo sotto cutanea endovena;1
raccolto materiale;1
raccolto ed elaborazione dato;1
raccolto dato ed elaborazione;1
psicologico;1
raccolto campione biologico;1
punture i m;1
terapia iniettivo endovena;1
pulizia gastrostomia endoscopica percutanea;1
pulizia degli apparecchio elettromedicali;1
pulizia catetere venoso centrale;1
terapia iniettivo infusiva;1
psicologico educazione;1
terapia iniettiva sotto cutanea intramuscolo;1
educazione al caregiver su mobilizzazione e postura;1
educazione al caregiver su gestione mobilizzazione;1
educazione al caregiver presidi assistenziale;1
educazione al caregiver nelle varie situazione;1
educazione al caregiver mobilizzazione e prevenzione;1
educazione al caregiver familiare;1
educazione al caregiver e paziente nella gestione sintomo refrattari gestione intima sotto cutanea terapia sotto cutanea ecc;1
educazione al caregiver e paziente;1
igiene corporea mobilizzazione;1
educazione al caregiver caregiver mobilizzazione e prevenzione;1
educazione al caregiver caregiver gestione tracheostomia;1
educazione al caregiver caregiver gestione gastrostomia endoscopica percutanea;1
educazione al caregiver caregiver alla prevenzione;1
educazione al caregiver alla gestione paziente;1
educazione al caregiver al riconoscimento di alterazione e complicanza;1
educazione ai familiare terapia s c;1
educazione ai familiare relativo a terapia anticipato medicazione gestione delle activities of daily living paziente con disabilitÃ  o allettamento;1
educazione al caregiver caregiver utilizzo presidi;1
educazione all uso di presidi e ausilio vari;1
educazione all integritÃ  cutaneo medicazione;1
educazione all igiene della stanza;1
educazione all assunzione della terapia;1
educazione all assistenza di base;1
educazione al paziente o al caregiver;1
educazione al paziente familiare rispetto a determinato procedure;1
educazione al paziente e o caregiver caregiver;1
educazione al caregiver sulla prevenzione delle lesioni cutaneo;1
educazione al paziente e al caregiver caregiver;1
educazione al paziente e al caregiver;1
educazione al paziente caregiver;1
educazione al gara tremare;1
educazione al corretto utilizzo degli ausilio e della mobilizzazione del paziente;1
educazione al caregiver x terapia dispositivo;1
educazione al caregiver utilizzo presidi;1
educazione al caregiver tremare;1
educazione al caregiver trasferimento competenze;1
educazione al paziente e caregiver caregiver;1
ed sanitario al contesto;1
ed sanitario al caregiver;1
ed sanitario ai familiare;1
ed gestione catetere vescicale urina colonstomia drenaggio;1
ed counselling terapeutico;1
ed counselling respirazione ossigeno terapia;1
ed counselling gestione lesione da pressione ulcera trofico lesioni chirurgico;1
ed counselling alimentazione disfagia gastrostomia endoscopica percutanea;1
educazione ai caregiver familiare;1
ed;1
e trattamento lesioni da pressione;1
drenaggio vari;1
drenaggio toracico addominale;1
drenaggio lesioni;1
drenaggio gestione gastrostomia endoscopica percutanea e tracheostomia;1
drenaggio addominale;1
domanda circolare sistemico;1
ed caregiver caregiver gestione stomie;1
educazione ai caregiver caregiver riguardo la gestione della nutrizione a domicilio;1
educazione ai;1
educazione addestrato caregiver caregiver;1
educazione addestramento paziente caregiver;1
educazione addestramento gestione device;1
educazione addestramento del caregiver;1
educazione addestramento al caregiver caregiver;1
educazione a paziente e caregiver;1
ed sanitario al paziente e al caregiver caregiver;1
educazione a corretto applicazione delle indicazione farmacologico o terapeutica affidato al caregiver caregiver;1
educazione a caregiver caregiver per gestione catetere vescicale a domicilio;1
educazionale caregiver caregiver;1
educazionale a familiare e assistente private;1
educare indirizzare familiare e caregiver caregiver all uso corretto di tecniche per il posizionamento attivo e passivo;1
educare il caregiver;1
educare ai familiare su postura movimentazione;1
edizione sanitario;1
ed sanitario caregiver caregiver e familiare;1
educazione a corretto stile di vita;1
educazione caregiver alla corretto somministrazione della nutrizione e;1
educazione caregiver alla corretto mobilizzazione postura paziente;1
educazione caregiver al nursing;1
educazione autocura e caregiver caregiver;1
educazione alvo ed esecuzione clisma;1
educazione alle postura mobilizzazione;1
educazione alle mansione dei caregiver caregiver;1
educazione alle abitudine e stile di vita;1
educazione all utilizzo apparecchio per la respirazione;1
educazione alla sostituzione sacca stomia enterale;1
educazione alla rilevazione dei parametri vitale;1
educazione alla prevenzione rischio caduta;1
educazione alla prevenzione di lesioni da pressione;1
educazione alla prevenzione di lesione da pressione;1
educazione alla prevenzione delle lesioni;1
educazione alla prevenzione delle lesione da pressione;1
educazione alla postura prevenzione per gli edema declive;1
educazione alla terapia;1
educazione dei caregiver;1
educazione cura igienico;1
educazione corretto gestione delle derivazione urinario;1
educazione con caregiver;1
educazione colloquio nursing e addestramento;1
educazione colloquio addestramento;1
educazione clisma;1
educazione carne caregiver;1
educazione caregiver caregiver colloquio;1
educazione caregiver terapia infusiva nutrizione parenterale totale;1
educazione caregiver prevenzione lesioni;1
educazione caregiver e utente;1
educazione caregiver e familiare;1
educazione caregiver caregiver x aspirazione tracheale;1
educazione caregiver caregiver paziente;1
educazione caregiver caregiver mobilizzazione profilassi;1
educazione caregiver caregiver gestione nutrizione artificiale;1
educazione caregiver caregiver familiare paziente;1
educazione caregiver utente;1
educazione alla gestione della sacca nutrizione parenterale totale;1
educazione alla gestione della gastrostomia endoscopica percutanea e cambio gastrostomia endoscopica percutanea;1
educazione alla gestione della gastrostomia endoscopica percutanea;1
educazione alla gestione dell utente allettato igiene;1
educazione alla gestione del sondino naso gastrico;1
educazione alla gestione del paziente;1
educazione alla gestione del cateterismo vescicale;1
educazione alla gestione del catetere vescicale;1
educazione alla postura mobilizzazione;1
educazione alla famiglia sulla conduzione di uno stile di vita sano;1
educazione alla famiglia sul monitoraggio e gestione di problema attivo e sulla prevenzione;1
educazione alla famiglia e paziente;1
educazione alla famiglia caregiver;1
educazione alla cura della persona per la prevenzione di lesione da pressione;1
educazione alla cura della persona;1
educazione alla cura della cute;1
educazione alla corretto mobilizzazione per la prevenzione delle lesioni cutaneo;1
educazione all utilizzo e gestione di presidi;1
educazione alla gestione;1
educazione alla postura del paziente;1
educazione alla persona su prestazione e stile di vita;1
educazione alla mobilitazione del paziente e all igiene;1
educazione alla gestione terapia;1
educazione alla gestione stomia;1
educazione alla gestione gastrostomia endoscopica percutanea;1
educazione alla gestione di vari dispositivo;1
educazione alla gestione di una terapia;1
educazione alla gestione della stomia;1
educazione alla gestione di sonda e drenaggio;1
educazione alla gestione di gastrostomia endoscopica percutanea stomie;1
educazione alla gestione di catetere;1
educazione alla gestione delle varie procedure;1
educazione alla gestione delle nutrizione parenterale totale;1
educazione alla gestione delle dermatiti da pannolino;1
educazione alla gestione della terapia endovenoso e del catetere venoso periferico e infusione endovenoso di terapia idratante;1
educazione alla gestione della terapia e riconoscere dei sintomo non controllato;1
educazione alla gestione della terapia;1
educazione alla gestione di stomie;1
controllo monitoraggio sintomo;1
controllo misurazione dei parametri vitale e preparazione supporto medicinale controllo e consiglio nel prendere le terapia orale;1
controllo medicazione sondino naso gastrico;1
controllo inr x terapia coumadin;1
controllo inr;1
controllo glicemico in paziente diabetico;1
controllo glicemia emo gluco test;1
controllo gastrostomia endoscopica percutanea e tracheostomia;1
dolore cronico;1
controllo e visita con il medico di riferimento;1
controllo e sostituzione acqua gastrostomia endoscopica percutanea;1
controllo e misurazione dei parametri vitale;1
controllo e medicazione accesso venoso centrale;1
controllo e gestione stomie tracheostomia gastrostomia endoscopica percutanea urostomia nefrostomia;1
controllo e gestione gastrostomia endoscopica percutanea;1
controllo e gestione alimentazione parenterale;1
controllo drenaggio uretrale e chirurgico;1
controllo farmaco a domicilio;1
controllo stick capillare;1
controllo sostituzione sonda gastrostomica;1
controllo sondino naso gastrico;1
controllo sintomo post chemioterapia dolore;1
controllo sintomo e supporto psicologico;1
controllo sintomatologia;1
controllo sacca di sangue;1
controllo pressiore arteriosa;1
controllo nutrizionale;1
controllo post dimissione;1
controllo pompa nutrizione artificiale domiciliare;1
controllo periodico medicazione sondino naso gastrico;1
controllo periodico medicazione gastrostomia endoscopica percutanea;1
controllo parametri vitali ispezione cutaneo;1
controllo parametri vitale e dolore;1
controllo parametri ventilatore;1
controllo parametri pressiore arteriosa fleboclisi temperatura corporea stick diuresi;1
controllo parametri p a t c;1
controllo pressione;1
controllo bilancio liquido;1
controllo assunzione terapia farmaco;1
controllo alvo e clistere evacuativo;1
controllo alvo;1
controllo aderenza terapeutica;1
controllo accesso venoso periferico;1
contatto via mail con servizio e millimetri di mercurio;1
contatto telefono email congiunto con tutte figura professionale in presenza cancella line;1
controllo drenaggio;1
contatto telefonica con utente;1
contatto rete dei servizio;1
contatto millimetri di mercurio;1
contatto e rapporto con varie figura professionale;1
contatto con servizio territoriale;1
contatto con rete sociale;1
contatto con rete sanitario esame punto unico di accesso ospedale limitrofe o fuori provincia;1
contatto con ospedale periferico fuori distretto fuori regione;1
contatto telefonica paziente e medico;1
controllo diuresi;1
controllo diabete stick;1
controllo di sintomo dolore dispnea sintomo gastroenterico;1
controllo di parametri vitale;1
controllo del peso;1
controllo del inr;1
controllo dei valore vitale;1
controllo dei sintomo farmacologico;1
controllo catetere;1
controllo dei segni vitali;1
controllo dei accesso venoso peripherally inserted central catheter midline;1
controllo decubito;1
controllo cute;1
controllo cutaneo;1
controllo crociato con medico pre trasfusionale;1
controllo compliance terapeutica;1
controllo catetere vescicale;1
controllo catetere centrale;1
controllo dei sintomo disturbante;1
desutura ferita chirurgico;1
desutura;1
definizione del piano assistenziale individualizzato;1
cura piaga da decubito;1
cura piaga;1
cura palliative visita congiunto;1
cura palliative ed elaborazione lutto;1
cura palliative domiciliare;1
controllo stomia;1
cura lesione da pressione;1
cura igienico e mobilizzazione;1
cura igienico del paziente ad alto intensitÃ  di cura;1
cura igienico del paziente;1
cura igiene dell assistito;1
cura gastrostomia percutanea;1
cura e lavaggio port-a-cath a catetere peripherally inserted central catheter e midline;1
cura e igiene di gastrostomia endoscopica percutanea;1
cura palliative dall primo accesso del team fino all accompagnare al paziente morente;1
documentazione infermieristico;1
documentazione e piano di assistenza;1
documentazione e piano assistenza;1
documentazione e assistenza;1
documentazione;1
distribuzione materiale per medicazione o terapia varie;1
dispositivi medici procurare;1
disinfezione;1
determinazione inr tramite prelievo capillare;1
dimissione protetta;1
dilatazioni uretrale;1
digiunostomia;1
dieta;1
didattica  educazione sanitario;1
dialogo con i paziente;1
device gastrostomia endoscopica percutanea peripherally inserted central catheter catetere vescicale prelievo ematico;1
detersione e idratazione;1
detersione;1
discussione caso con altri professionista coinvolto;1
counselling caregiver caregiver;1
counselling breve;1
counselling assistenziale;1
counselling al paziente;1
costruire un allenza con la famiglia se presente;1
costruire alleanza terapeutica con la famiglia se presente caregiver;1
costante educazione sanitario;1
cosa organizzativo parlare il medico di base parlare con i parenti parlare con il servizio di assistenza domiciliare;1
cura delle lesioni da pressione;1
coordinamento dei piano assistenziale dei paziente di terzo livello assistenza domiciliare oncologica ano e paziente dialisi domiciliare;1
coordinamento con millimetri di mercurio;1
cooperazione centrale operativa territoriale;1
cooperazione altro servizio;1
controllo ventilatore;1
controllo tracheostomia;1
controllo terapia per latino per bocca o terapia ecc;1
controllo terapia farmaco;1
controllo stomie urostomia colonstomia ileostomia;1
corretto utilizzo dei dispositivo medico;1
cura delle lesioni cutaneo;1
cura della stomia;1
cura della documentazione;1
cura del corpo;1
cura colonstomia;1
cura catetere vescicale;1
criterio evacuativo;1
creazione relazione di fiducia;1
counselling e sostegno emotivo;1
counselling telefonica;1
counselling supporto psicologico e non informazione educazione sanitario prevenzione;1
counselling sanitario al caregiver e paziente;1
counselling per ausilio;1
counselling paziente e caregiver;1
counselling eliminazione gestione catetere vescicale;1
counselling eliminazione e gestione catetere venoso;1
counselling educazione al caregiver;1
counselling educazionale;1
counselling utente e famiglia;1
educazione socio sanitario a e terapeutica;1
educazione socio assistenziale e prevenzione;1
educazione sanitario utilizzo degli apparecchio elettromedicali;1
educazione sanitario utente;1
educazione sanitario trattamento;1
educazione sanitario supporto psicologico all assistito al caregiver e familiare;1
educazione sanitario supporto alla famiglia;1
educazione sanitario sulla gestione catetere venoso gastrostomia endoscopica percutanea sondino naso gastrico stomie;1
educazione dei parenti;1
educazione sanitario sostegno all assistito al caregiver e familiare;1
educazione sanitario sondino naso gastrico gastrostomia endoscopica percutanea net;1
educazione sanitario sia al paziente che al caregiver caregiver;1
educazione sanitario rivolta al caregiver caregiver per la corretto mobilizzazione e utilizzo presidi;1
educazione sanitario rinforzo educativo supporto al lutto ascolto attivo sempre;1
educazione sanitario rinforzo;1
educazione sanitario prevenzione lesioni da decubito;1
educazione sanitario prevenzione lesioni cutaneo;1
educazione sanitario stomie;1
educazione terapeutica al paziente e ai caregiver caregiver e o familiare;1
educazione terapeutica al caregiver o al paziente stesso;1
educazione terapeutica al caregiver assistito;1
educazione terapeutica ai bisogno assistito caregiver;1
educazione terapeutica addestramento;1
educazione terapeutica ad assistito e o caregiver in relazione ai diverso bisogno;1
educazione teorica e pratica attivitÃ  nursing;1
educazione supporto e familiare;1
educazione somministrazione terapia;1
educazione sulla salute;1
educazione sulla mobilizzazione del paziente;1
educazione sull esecuzione dell igiene;1
educazione su terapia orale i m s c;1
educazione su postura;1
educazione stomie;1
educazione stomia;1
educazione stile di vita corretto;1
educazione somministrazione terapia parenterale totale;1
educazione sulla terapia orale;1
educazione sanitario familiare;1
educazione sanitario esame alvo alimentazione postura ecc;1
educazione sanitario e terapeutico;1
educazione sanitario e supporto psicologico all assistito al caregiver e familiare;1
educazione sanitario e supporto psicologico;1
educazione sanitario e supporto familiare e caregiver caregiver;1
educazione sanitario e supporto alla famiglia;1
educazione sanitario e promozione della salute;1
educazione sanitario prevenzione lesioni;1
educazione sanitario e prevenzione;1
educazione sanitario e gestione catetere vescicale enterostomia o ureterostomia;1
educazione sanitario e formazione e supporto caregiver caregiver;1
educazione sanitario e formazione del caregiver per gestione catetere vescicale somministrazione di farmaco per varie via di somministrazione ecc;1
educazione sanitario e formazione caregiver caregiver;1
educazione sanitario e empowerment caregiver caregiver;1
educazione sanitario e controllo aderenza alla terapia;1
educazione sanitario e addestramento;1
educazione sanitario e promozione corretto stile di vita;1
educazione sanitario prevenzione lesione da pressione prevenzione complicanza;1
educazione sanitario prevenzione e gestione lesione da pressione;1
educazione sanitario prevenzione;1
educazione sanitario per la gestione di gastrostomia endoscopica percutanea stomie compreso tracheostomia ed eventuale assistenza in caso di assenza di caregiver caregiver adeguato;1
educazione sanitario per i paziente e suoi familiare;1
educazione sanitario paziente e caregiver;1
educazione sanitario paziente cronico esame diabete;1
educazione sanitario paziente;1
educazione sanitario familiare caregiver e paziente nella gestione del paziente in generale;1
educazione sanitario in totale;1
educazione sanitario in materia di prevenzione e gestione dei device;1
educazione sanitario gestione terapia endovenoso;1
educazione sanitario gestione stomie;1
educazione sanitario gestione sondino naso gastrico tracheostomia gastrostomia endoscopica percutanea;1
educazione sanitario gestione della tracheostomia;1
educazione sanitario generico;1
educazione sanitario fornitura materiale;1
educazione sanitario formazione caregiver;1
educazione sanitario leucemia acuta linfatica paziente e contesto per gestione paziente fragile e complesso a domicilio prevenzione di caduta ed evento avverso;1
esame;1
eparina;1
enteroclisma e sua gestione;1
enterale;1
endovenoso;1
endovena e intramuscolo;1
ematico;1
elenco delle richiesta da faringeo compilare al millimetri di mercurio;1
educazione terapeutica alla gestione del catetere vescicale;1
elastomero in paziente in cura palliative;1
elastomero antalgico;1
elastomero analgosedazione sedativo sedativo terminale;1
elastocompressivo compressione;1
elastocompressione;1
elaborazione dato;1
effettuazione tampone anti-igienico;1
effettuazione elettrocardiogramma a domicilio;1
elemento di educazione sanitario;1
esecuzione di pratica occasionale peretta;1
esecuzione di medicazione semplice e complesso chirurgico da pressione di;1
esecuzione di esame ematico;1
esecuzione di elettrocardiogramma e rilevazione parametri vitali;1
esecuzione di elettrocardiogramma a domicilio in paziente non trasportabile;1
esecuzione di elettrocardiogramma;1
esecuzione di centilitri evacuativo;1
esecuzione della medicazione;1
esame di laboratorio semplice e prelievo di campione per esame ematochimico e colturale;1
esecuzione clistere con sonda;1
esecuzione bendaggio elastocompressivo;1
esecuzione antibiotico terapia endovena;1
esame strumentale ematico;1
esame sangue e urina;1
esame emoculturale;1
esame ematochimico e tampone culturale;1
esame ematochimico e tampone colturale;1
esame ematico e urina;1
esecuzione clistere evacuante;1
educazione terapia enterale sondino naso gastrico;1
educazione terapeutico sanitario;1
educazione terapeutico in relazione ai bisogno assistito caregiver;1
educazione terapeutico;1
educazione terapeutica volta all assistito e alla sua famiglia;1
educazione terapeutica utente;1
educazione terapeutica tracheostomia;1
educazione terapeutica su gestione medicazione e o device;1
effettuazione di ipodermoclisi;1
educazione terapeutica prevenzione counselling sorveglianza infermieristico rivalutazione;1
educazione terapeutica informazione e attivazione paziente caregiver caregiver supporto e sorveglianza nel tempo;1
educazione terapeutica in relazione al bisogno rilevato;1
educazione terapeutica in relazione ai bisogno caregiver;1
educazione terapeutica in relazione ai bisogno assistito caregiver caregiver;1
educazione terapeutica farmacologico;1
educazione terapeutica e sanitario;1
educazione terapeutica dei caregiver caregiver;1
educazione terapeutica assistito caregiver caregiver;1
educazione terapeutica prevenzione decubito e stipsi;1
effettuazione di elettrocardiogramma;1
effettuazione di clisma evacuativo;1
effettuazione di clisma evacuante ed addestramento ai caregiver per prevenzione e trattamento stipsi;1
effettuazione clistere evacuativo;1
effettuazione clisma evacuativo;1
educazione varia caregiver caregiver e assistito;1
educazione utente caregiver caregiver;1
educazione utente caregiver;1
educazione terapia in relazione ai bisogno assistito caregiver;1
educazione uso di glucometro;1
educazione urinario;1
educazione trasferimento competenze caregiver;1
educazione trasferimento competenze;1
educazione tracheostomia terapeutica paziente caregiver caregiver;1
educazione tracheostomia sanitario per bisogno;1
educazione tracheostomia al caregiver caregiver;1
educazione terapia s c;1
educazione terapia nutrizionale enterale;1
educazione utente;1
educazione gestione catetere vescicale;1
educazione gestione alimentazione;1
educazione formazione sulla gestione terapeutica;1
educazione formazione assistito e caregiver caregiver;1
educazione formazione;1
educazione familiare profilassi e prevenzione;1
educazione familiare e paziente;1
educazione familiare caregiver;1
educazione sanitario di vari ambito sanitario;1
educazione eliminazione;1
educazione ed prevenzione alle lesioni da decubito;1
educazione ed informazione;1
educazione ed addestramento paziente caregiver;1
educazione e supporto emotivo all utente e al caregiver caregiver;1
educazione e supporto caregiver caregiver;1
educazione e supporto all adozione di stile di vita sano;1
educazione e supervisione alla gestione delle stomie;1
educazione famiglia badante;1
educazione in quasi tutte le categoria;1
educazione igienico sanitario;1
educazione igienico alimentare;1
educazione igienico;1
educazione igiene e mobilizzazione;1
educazione gestione tracheostomia e drenaggio;1
educazione gestione terapia parenterale;1
educazione gestione terapia infusiva;1
educazione gestione fleboterapia endovena e sottocute;1
educazione gestione stomia urostomia;1
educazione gestione per e sondino naso gastrico;1
educazione gestione nutrizione parenterale totale;1
educazione gestione nutrizione enterale domiciliare;1
educazione gestione medicazione;1
educazione gestione malattia cronico;1
educazione gestione linea infusionale;1
educazione gestione gastrostomia endoscopica percutanea peripherally inserted central catheter;1
educazione gestione gastrostomia endoscopica percutanea;1
educazione gestione terapia infusionale;1
educazione e addestramento del caregiver alla somministrazione e gestione delle terapia;1
educazione e addestramento caregiver;1
educazione e addestramento all utente familiare o caregiver a seconda dei bisogno dell utente e famiglia;1
educazione e addestramento all uso di dispositivo e o di presidi;1
educazione diabetico e altro tipo;1
educazione della persona;1
educazione dell utente cliente e del caregiver;1
educazione dell eliminazione intestinale;1
educazione e sostegno caregiver caregiver;1
educazione del paziente caregiver prevenzione lesioni da pressione gestione del paziente cateterizzare gestione del paziente con nutrizione parenterale enterale;1
educazione del caregiver caregiver per gestione dispositivo venoso e o sotto cutanea e o centrale;1
educazione del caregiver caregiver per assistenza sanitario;1
educazione del caregiver caregiver gestione catetere venoso;1
educazione del caregiver caregiver alla corretto gestione del paziente;1
educazione del caregiver alla prevenzione delle lesioni cutaneo;1
educazione del caregiver alla gestione di infusione;1
educazione del caregiver alla gestione del sondino naso gastrico gastrostomia endoscopica percutanea;1
educazione del caregiver all aspirazione bronchiale;1
educazione dell assistito e del caregiver;1
educazione e sorveglianza;1
educazione e promozione della salute;1
educazione e prevenzione sulla gestione delle lesione da pressione;1
educazione e prevenzione;1
educazione e istruzione al caregiver caregiver;1
educazione e insegnamento gestione;1
educazione e informazione del paziente e del caregiver caregiver;1
educazione e gestione terapia intramuscolare e o per latino per bocca;1
educazione e colloquio;1
educazione e gestione paziente con gastrostomia endoscopica percutanea;1
educazione e gestione medicazione semplice e complesso;1
educazione e gestione lesioni decubito e vascolare;1
educazione e gestione delle stomie;1
educazione e gestione catetere vescicale;1
educazione e formazione per la prevenzione delle ulcera da pressione;1
educazione e formazione dei caregiver per la gestione dei presidi;1
educazione e formazione caregiver caregiver sulla terapia sulle cura palliative;1
educazione e formazione caregiver caregiver;1
educazione e gestione terapia infusionale;1
educazione sanitario al self caregiver;1
educazione sanitario al paziente parenti caregiver;1
educazione sanitario al paziente ed al caregiver caregiver;1
educazione sanitario al caregiver caregiver di attrezzatura elettromedicali;1
educazione sanitario ai paziente ed ai caregiver;1
educazione sanitario ai paziente;1
educazione sanitario ai contesto familiare;1
educazione sanitario ai caregiver caregiver ed ai paziente;1
educazione infermieristico carriera stomie;1
educazione sanitario addestramento caregiver caregiver rilevazione bisogno;1
educazione sanitario addestramento;1
educazione sanitario a paziente e caregiver caregiver;1
educazione sanitario a paziente e caregiver;1
educazione sanitario a familiare e caregiver;1
educazione sanitario a famiglia o caregiver;1
educazione riguardo a presidi sanitario;1
educazione respirazione;1
educazione sanitario ai caregiver caregiver;1
educazione sanitario di prevenzione;1
educazione sanitario del caregiver caregiver alla prevenzione delle lesione da decubito;1
educazione sanitario del caregiver all assistenza del paziente e all utilizzo dei supporto e ausilio assistenziale;1
educazione sanitario dei caregiver;1
educazione sanitario corretto stile di vita;1
educazione sanitario colonstomia;1
educazione sanitario catetere vescicale;1
educazione sanitario caregiver caregiver per gestione paziente fragile a domicilio;1
educazione sanitario al self caregiver e addestramento del caregiver caregiver;1
educazione sanitario attivazione figura multidisciplinare;1
educazione sanitario ambulatorio infermieristico stomizzato;1
educazione sanitario alla prevenzione caduta e corretto idratazione;1
educazione sanitario alla prevenzione;1
educazione sanitario alla mobilizzazione e prevenzione di lesione da pressione;1
educazione sanitario alla gestione delle stomie sondino naso gastrico gastrostomia endoscopica percutanea ecc ecc;1
educazione sanitario alla famiglia;1
educazione sanitario alimentazione enterale;1
educazione sanitario alimentazione alvo mobilitÃ  cura e igiene;1
educazione sanitario caregiver caregiver mobilizzazione;1
educazione paziente caregiver caregiver;1
educazione paziente caregiver;1
educazione parente;1
educazione nutrizione parenterale totale nutrizione enterale domiciliare;1
educazione nutrizione parenterale totale ecc;1
educazione nutrizione enterale e parenterale;1
educazione nelle stomie x i caregiver;1
educazione nelle activities of daily living;1
educazione relativo al monitoraggio parametri;1
educazione nella infusione di sacca nutrizione parenterale totale lavaggio allo;1
educazione ne e gestione gastrostomia endoscopica percutanea;1
educazione mobilizzazione movimentazione;1
educazione mobilizzazione ed utilizzo ausilio per la prevenzione lesioni da pressione;1
educazione mobilizzazione attivo e passivo;1
educazione istruzione caregiver caregiver;1
educazione insegnamento al familiare;1
educazione infusione nutrizionale;1
educazione infermieristico per la gestione di stomie e gastrostomia endoscopica percutanea;1
educazione nella prevenzione lesioni da decubito;1
educazione profilassi;1
educazione procedure terapeutica;1
educazione prevenzione lesioni da pressione;1
educazione prevenzione lesioni da decubito;1
educazione prevenzione lesione cutaneo;1
educazione prevenzione delle lesioni da decubito;1
educazione prevenzione caduta;1
educazione persona e o caregiver;1
educazione paziente e al caregiver;1
educazione per gestione catetere;1
educazione paziente stomizzato;1
educazione paziente o caregiver;1
educazione paziente insulinodipendente;1
educazione paziente familiari;1
educazione paziente famiglia;1
educazione paziente e familiare;1
educazione paziente e caregiver paziente palliative;1
educazione paziente e caregiver caregiver e sostegno alla famiglia;1
educazione per presidi e dispositivo medico;1
ascolto supporto paziente famiglia;1
ascolto supporto familiare;1
ascolto supporto al paziente famiglia;1
ascolto supporto al paziente e famiglia;1
ascolto supporto al paziente e caregiver;1
ascolto supporto al paziente e alla famiglia;1
ascolto supporto ai paziente caregiver caregiver;1
ascolto supporto a paziente e famiglia;1
contatto con millimetri di mercurio assistente sociale caregiver;1
ascolto paziente familiare;1
ascolto paziente famiglia;1
ascolto famiglia e paziente;1
ascolto e supporto psicologico;1
ascolto e supporto alla famiglia e caregiver;1
ascolto e supporto alla famiglia e al paziente;1
ascolto e supporto al paziente ed alla famiglia;1
ascolto e supporto al paziente e familiare;1
ascolto supporto;1
assistenza a fine vita;1
assistenza;1
asportazione punti sutura;1
asportazione dei caregiver caregiver;1
aspirazione via aeree;1
aspirazione tracheo bronchiale o orofaringea;1
aspirazione tracheo bronchiale;1
aspirazione secrezioni;1
ascolto supporto psicologico;1
aspirazione orale faringeo;1
aspirazione muco paziente tracheostomizzato;1
aspirazione muco;1
aspirazione escreto;1
aspirazione e broncoaspirazione;1
aspetto sociale situazione domicilio ecc;1
aspetto comunicazione paziente e famiglia;1
ascolto utente famiglia;1
ascolto supporto utente e caregiver caregiver;1
aspirazione orale tracheale;1
applicazione ed educativo di terapia s c idratante;1
applicazione e sostituzione catetere vescicale;1
applicazione e sostituzione catetere venoso;1
applicazione di terapia endovena;1
applicazione di liquido endovena;1
applicazione di catetere vescicale sia maschio che femmina;1
applicazione di accesso venoso periferico o sotto cutanea;1
applicazione cerotto transdermica;1
ascolto e supporto al paziente e famiglia;1
applicazione accesso venoso periferico;1
applicazione accesso sotto cutanea;1
applicazione;1
apertura cura palliative;1
apertura cartella a domicilio;1
apertura assistenza domiciliare integrata insieme a millimetri di mercurio;1
antibioticoterapia e v;1
antibiotico terapia tramite accesso venoso centrale;1
applicazione catetere venoso periferico;1
ascolto e supporto al caregiver familiare;1
ascolto e supporto;1
ascolto della persona sia utente che caregiver;1
ascolto attivo supporto paziente e familiare;1
ascolto attivo sostegno psicologico;1
ascolto attivo sostegno emotivo;1
ascolto alla famiglia paziente;1
arto inferiore;1
applicazione fleboclisi;1
approccio palliativo supporto e aiuto;1
approccio familiare supporto e aiuto;1
applicazione terapia infusionale;1
applicazione terapia in vena;1
applicazione terapia endovena instramuscolare ipodermico;1
applicazione terapia cutaneo;1
applicazione ne catetere vescicale;1
applicazione impacco e bendaggio;1
applicazione fleboterapia;1
approvvigionamento farmaco;1
attivazione servizio e fornire;1
attivazione servizio;1
attivazione piano assistenza domiciliare integrata assistenza infermieristica diagnosi cura e prevenzione;1
attivazione di servizio sanitario e socio sanitario;1
attivazione collaborazione con millimetri di mercurio;1
attivazione assistenza con medico;1
attivazione assistente sociale;1
attivazione altri servizio tramite regole del servizio ricevente;1
assistenza a paziente terminale;1
attacco terapia endovena;1
attacco flebo;1
assistenza ventilazione invasivo e non;1
assistenza utente in cura palliative;1
assistenza trasfusione;1
assistenza tracheostomia;1
assistenza terminale oncologico;1
assistenza terminale;1
attivazione altri servizio;1
bendaggio adesivo elastico;1
