index;macroprestazione;testo;cod_valoremedio_liquidazione;testo_pulito
14544;procedure clinico assistenziali;gestione catere vescicale;065T;gestione catere vescicale
14545;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
14549;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie EV;016T;terapie ev
14550;procedure clinico assistenziali;Gestione cateteri vescicali;065T;gestione cateteri vescicali
14555;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi venosi;033T;prelievi venosi
14560;procedure clinico assistenziali;Peg;055T;peg
14567;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016T;terapia endovenosa
14569;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016T;terapia infusionale
14571;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
14573;Medicazioni Avanzate;Medicazioni peg;055T;medicazioni peg
14574;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016T;terapia endovenosa
14575;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016T;terapia endovenosa
14577;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
14579;procedure clinico assistenziali;Cambio PEG;055T;cambio peg
14580;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusioni;016T;infusioni
14583;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
14587;procedure clinico assistenziali;Cv;065T;cv
14592;procedure clinico assistenziali;catetere vescicale;065T;catetere vescicale
14594;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
14597;Medicazioni Avanzate;medicazione complessa;032T;medicazione complessa
14606;Medicazione semplice;Medicazione peg;055T;medicazione peg
14607;procedure clinico assistenziali;Catetere vescicali;065T;catetere vescicali
14608;Monitoraggi e Misurazioni;Rilevazione parametri;004T;rilevazione parametri
14609;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Tev;016T;tev
14612;procedure clinico assistenziali;Cambio catetere vescicale;065T;cambio catetere vescicale
14613;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboterapia;016T;fleboterapia
14614;procedure clinico assistenziali;Cateterismo;065T;cateterismo
14615;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;PRELIEVO EMATICO;033T;prelievo ematico
14618;Monitoraggi e Misurazioni;Monitoraggio parametri vitali;004T;monitoraggio parametri vitali
14621;Monitoraggi e Misurazioni;Misurazione di pv;004T;misurazione di pv
14622;PAI, pianificazione, valutazione;Prenotazione esami;033T;prenotazione esami
14624;procedure clinico assistenziali;CATETERISMO;065T;cateterismo
14626;Monitoraggi e Misurazioni;Rilevazione parametri vitali;004T;rilevazione parametri vitali
14627;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboterapia;016T;fleboterapia
14633;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016T;terapia infusionale
14635;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016T;terapia infusionale
14636;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016T;terapia infusionale
14637;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboterapia;016T;fleboterapia
14638;procedure clinico assistenziali;Sostituzione  catetere vescicale;065T;sostituzione  catetere vescicale
14640;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Flebo tp;016T;flebo tp
14644;Medicazioni Avanzate;medicazioni semplici e complesse;032T;medicazioni semplici e complesse
14648;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
14650;procedure clinico assistenziali;Cateterismo;065T;cateterismo
14651;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi stabili/e  non;020T;gestione accessi venosi stabilie  non
14659;Medicazioni Avanzate;medicazioni semplici e complesse;032T;medicazioni semplici e complesse
14660;procedure clinico assistenziali;gestione catetere vescicale;065T;gestione catetere vescicale
14661;procedure clinico assistenziali;cateterismo vescicale;065T;cateterismo vescicale
14667;procedure clinico assistenziali;cateterismo vescicale;065T;cateterismo vescicale
14673;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematochimici;033T;prelievi ematochimici
14674;procedure clinico assistenziali;gestione catetere vescicale;065T;gestione catetere vescicale
14676;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia ev;016T;terapia ev
14680;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusionale;016T;terapia infusionale
14681;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione accesso venoso stabile;020T;gestione accesso venoso stabile
14685;procedure clinico assistenziali;catetere vescicale;065T;catetere vescicale
14686;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusioni;016T;infusioni
14692;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Flebo terapia;016T;flebo terapia
14693;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboterapia;016T;fleboterapia
14694;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboterapia;016T;fleboterapia
14695;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
14702;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
14703;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
14715;procedure clinico assistenziali;sostituzione e gestione PEG;055T;sostituzione e gestione peg
14717;procedure clinico assistenziali;sostituzione catetere vescicale;065T;sostituzione catetere vescicale
14721;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
14723;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
14729;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboclisi;016T;fleboclisi
14730;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
14731;procedure clinico assistenziali;sostituzione catetere vescicale;065T;sostituzione catetere vescicale
14732;procedure clinico assistenziali;gestione PEG;055T;gestione peg
14736;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033T;prelievo venoso
14742;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione cv;020T;gestione cv
14746;procedure clinico assistenziali;gestione c.v.;065T;gestione cv
14756;Educazione Sanitaria;supporto psicologico;169R;supporto psicologico
14767;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione cvc;007T;gestione cvc
14768;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
14771;procedure clinico assistenziali;gestione peg;055T;gestione peg
14772;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione cv;020T;gestione cv
14776;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione cv;020T;gestione cv
14794;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico venoso e arterioso;033T;prelievo ematico venoso e arterioso
14797;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo venoso;033T;prelievo venoso
14800;procedure clinico assistenziali;Gestione Peg;055T;gestione peg
14810;procedure clinico assistenziali;Mobilizzazione e sostituzione catetere vescicale;065T;mobilizzazione e sostituzione catetere vescicale
14811;procedure clinico assistenziali;gestione cateteri venosi centrali;007T;gestione cateteri venosi centrali
14812;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione CVC;007T;gestione cvc
14813;procedure clinico assistenziali;terapia infusiva ev e sc;016T;terapia infusiva ev e sc
14814;Educazione Sanitaria;educazione sanitaria pz;122R;educazione sanitaria pz
14815;Educazione Sanitaria;Educazione sanitaria al paziente;122R;educazione sanitaria al paziente
14818;Medicazioni Avanzate;medicazioni complesse;032T;medicazioni complesse
14820;Monitoraggi e Misurazioni;rilevazione parametri;004T;rilevazione parametri
14822;procedure clinico assistenziali;Cateteri;065T;cateteri
14823;procedure clinico assistenziali;Terapia ev sc im;016T;terapia ev sc im
14825;procedure clinico assistenziali;Terapie (sc, ev, im);016T;terapie sc ev im
14826;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
14828;procedure clinico assistenziali;gestione cateteri venosi centrali;007T;gestione cateteri venosi centrali
14829;Educazione Sanitaria;educazione sanitaria;122R;educazione sanitaria
14830;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionali;016T;terapia infusionali
14831;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione CVC;007T;gestione cvc
14833;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
14837;procedure clinico assistenziali;Terapia sottocutanea ed endovenosa;016T;terapia sottocutanea ed endovenosa
14838;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione accessi venisi centrali;007T;gestione accessi venisi centrali
14839;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007T;gestione cvc
14841;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapie infusionali;016T;terapie infusionali
14843;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016T;terapia infusionale
14844;Educazione Sanitaria;Educazione terapeutica;122R;educazione terapeutica
14845;Medicazioni Avanzate;Medicazioni;031T;medicazioni
14846;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia iniettiva/endovenosa;016T;terapia iniettivaendovenosa
14847;procedure clinico assistenziali;Gestione cateteri venosi centrali;007T;gestione cateteri venosi centrali
14849;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007T;gestione cvc
14851;Monitoraggi e Misurazioni;monitoraggio;004T;monitoraggio
14852;procedure clinico assistenziali;gestione cateteri venosi centrali;007T;gestione cateteri venosi centrali
14853;Monitoraggi e Misurazioni;monitoraggio;004T;monitoraggio
14854;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016T;terapia infusionale
14855;Educazione Sanitaria;educazione sanitaria;122R;educazione sanitaria
14856;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia idratante;016T;terapia idratante
14857;Monitoraggi e Misurazioni;Monitoraggio clinico;004T;monitoraggio clinico
14859;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;I terapia infusionionale;016T;i terapia infusionionale
14860;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;020T;gestione accessi venosi
14861;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
14863;Medicazioni Avanzate;Medicazioni semplici e complesse;032T;medicazioni semplici e complesse
14866;Medicazioni Avanzate;medicazioni semplici e complesse;032T;medicazioni semplici e complesse
14867;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;020T;gestione accessi venosi
14869;procedure clinico assistenziali;Gestione cateteri vescicali;065T;gestione cateteri vescicali
14870;procedure clinico assistenziali;Gestione cateteri vescicali;065T;gestione cateteri vescicali
14871;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusionale;016T;terapia infusionale
14873;procedure clinico assistenziali;Gestione cateterismo;065T;gestione cateterismo
14874;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
14875;procedure clinico assistenziali;Sostituzione cateteri vescicali;065T;sostituzione cateteri vescicali
14877;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
14880;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;fleboclisi;016T;fleboclisi
14881;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusioni;016T;infusioni
14882;Medicazioni Avanzate;Medicazioni complesse;032T;medicazioni complesse
14883;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione fleboclisi;016T;gestione fleboclisi
14884;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizionamento CVP;020T;posizionamento cvp
14887;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007T;gestione cvc
14888;Medicazioni Avanzate;Medicazioni complesse;032T;medicazioni complesse
14892;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016T;terapia endovenosa
14893;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;020T;gestione accessi venosi
14894;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie endovenose;016T;terapie endovenose
14896;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033T;prelievo ematico
14898;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007T;gestione cvc
14906;procedure clinico assistenziali;sostituzione cateteri vescicali;065T;sostituzione cateteri vescicali
14916;procedure clinico assistenziali;catetere vescicale;065T;catetere vescicale
14917;Medicazioni Avanzate;medicazione complessa;032T;medicazione complessa
14918;procedure clinico assistenziali;Bendaggio semplice;023T;bendaggio semplice
14919;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie endovenose;016T;terapie endovenose
14920;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terepia endovenosa;016T;terepia endovenosa
14921;Medicazioni Avanzate;Medicazioni avanzate;032T;medicazioni avanzate
14922;Medicazioni Avanzate;Medicazioni avanzate;032T;medicazioni avanzate
14924;procedure clinico assistenziali;gestione peg;055T;gestione peg
14927;procedure clinico assistenziali;Somministrazione farmaci im, ev, sc;016T;somministrazione farmaci im ev sc
14929;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
14930;procedure clinico assistenziali;gestione catetere vescicale;065T;gestione catetere vescicale
14931;Medicazioni Avanzate;medicazioni complesse;032T;medicazioni complesse
14933;Medicazione semplice;Medicazioni semplici;031T;medicazioni semplici
14935;procedure clinico assistenziali;pozycionamento catetere  vesicale e gestione;065T;pozycionamento catetere  vesicale e gestione
14936;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007T;gestione cvc
14940;Medicazioni Avanzate;Medicazioni complesse;032T;medicazioni complesse
14941;Medicazione semplice;Bendaggio;023T;bendaggio
14943;Educazione Sanitaria;Supporto psicologico;169R;supporto psicologico
14944;procedure clinico assistenziali;cateterismo vescicale;065T;cateterismo vescicale
14945;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia ev;016T;terapia ev
14948;Monitoraggi e Misurazioni;Parametri vitali;004T;parametri vitali
14952;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007T;gestione cvc
14953;Medicazione semplice;bendaggio;023T;bendaggio
14956;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizionamento aghi;020T;posizionamento aghi
14960;procedure clinico assistenziali;gestione peg;055T;gestione peg
14961;procedure clinico assistenziali;posizionamento cateteri vescicali;065T;posizionamento cateteri vescicali
14962;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
14964;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;GESTIONE CVC;007T;gestione cvc
14965;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033T;prelievo ematico
14967;Monitoraggi e Misurazioni;Rilevazioni parametri vitali;004T;rilevazioni parametri vitali
14968;Monitoraggi e Misurazioni;Rilevazione parametri vitali;004T;rilevazione parametri vitali
14974;Educazione Sanitaria;Educazione terapeutica;122R;educazione terapeutica
14977;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi venosi;033T;prelievi venosi
14984;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
14986;Medicazione semplice;Medicazioni cvc;007T;medicazioni cvc
14992;procedure clinico assistenziali;gestione cateteri vescicali;065T;gestione cateteri vescicali
14993;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
14994;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
14996;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizionamento accessi venosi e sottocutanei;020T;posizionamento accessi venosi e sottocutanei
14997;procedure clinico assistenziali;Terapia infusionale e sottocutaneo;016T;terapia infusionale e sottocutaneo
14999;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
15006;procedure clinico assistenziali;Sostituzione catetere vescicale;065T;sostituzione catetere vescicale
15011;procedure clinico assistenziali;gestione catetere venoso centrale;007T;gestione catetere venoso centrale
15014;procedure clinico assistenziali;bendaggi;023T;bendaggi
15016;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie infusionali;016T;terapie infusionali
15017;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
15018;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa e sottocutanea;016T;terapia endovenosa e sottocutanea
15021;procedure clinico assistenziali;Catetere vescicale;065T;catetere vescicale
15024;Medicazioni Avanzate;Medicazioni complesse;032T;medicazioni complesse
15025;procedure clinico assistenziali;Cambio catetere vescicale;065T;cambio catetere vescicale
15027;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
15029;procedure clinico assistenziali;Cateteri vescicali;065T;cateteri vescicali
15030;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
15031;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016T;terapia infusionale
15033;procedure clinico assistenziali;Supporto  psicologico;169R;supporto  psicologico
15034;procedure clinico assistenziali;Cateterismo;065T;cateterismo
15035;Educazione Sanitaria;Supporto psicologico;169R;supporto psicologico
15040;procedure clinico assistenziali;Terapia ev e sc;016T;terapia ev e sc
15042;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Catetere venoso;020T;catetere venoso
15043;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016T;terapia infusionale
15045;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
15046;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosisorveglianza infermieristica;033T;prelievi venosisorveglianza infermieristica
15048;Monitoraggi e Misurazioni;monitoraggi;004T;monitoraggi
15049;procedure clinico assistenziali;Sostituzione CV;065T;sostituzione cv
15055;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Cvc;007T;cvc
15060;Educazione Sanitaria;Sostegno psicologico;169R;sostegno psicologico
15064;procedure clinico assistenziali;Catetere. Vescicale;065T;catetere vescicale
15065;procedure clinico assistenziali;gestione cateteri vescicali;065T;gestione cateteri vescicali
15066;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
15067;procedure clinico assistenziali;Catetere vescicale;065T;catetere vescicale
15075;procedure clinico assistenziali;Catetere vescicale;065T;catetere vescicale
15076;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Medicazione CVC;007T;medicazione cvc
15078;procedure clinico assistenziali;Gestione CV;065T;gestione cv
15079;Medicazione semplice;Bendaggi;023T;bendaggi
15080;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cateteri venosi centrali;007T;gestione cateteri venosi centrali
15081;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007T;gestione cvc
15082;Medicazione semplice;Medicazioni semplici;031T;medicazioni semplici
15083;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016T;terapia ev
15085;Educazione Sanitaria;Supporto psicologico;169R;supporto psicologico
15087;procedure clinico assistenziali;Terapia sc, im, ev, ipodermica;016T;terapia sc im ev ipodermica
15089;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Idratazione per via endovenosa;016T;idratazione per via endovenosa
15090;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Somministrazione terapia ev;016T;somministrazione terapia ev
15091;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016T;terapia endovenosa
15092;procedure clinico assistenziali;Terapia EV e Ipodermo;016T;terapia ev e ipodermo
15093;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie endovenose;016T;terapie endovenose
15098;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;020T;gestione accessi venosi
15099;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;020T;gestione accessi venosi
15100;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;020T;gestione accessi venosi
15101;Educazione Sanitaria;Educazione terapeutica;122R;educazione terapeutica
15102;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;020T;gestione accessi venosi
15103;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
15104;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016T;terapia ev
15105;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;020T;prelievi venosi
15106;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016T;terapia endovenosa
15109;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016T;terapia endovenosa
15110;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia parenterale;016T;terapia parenterale
15112;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie infusionali;016T;terapie infusionali
15114;Medicazioni Avanzate;Medicazioni complesse;032T;medicazioni complesse
15122;Medicazione semplice;Medicazione peg;055T;medicazione peg
15123;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007T;gestione cvc
15126;procedure clinico assistenziali;Cambio cv;065T;cambio cv
15129;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
15130;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
15131;procedure clinico assistenziali;Bendaggi;023T;bendaggi
15133;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboclisi;016T;fleboclisi
15134;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
15135;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
15139;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
15143;procedure clinico assistenziali;Cateterismi;065T;cateterismi
15144;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
15148;procedure clinico assistenziali;Gestione cateterismo;065T;gestione cateterismo
15149;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboclisi;016T;fleboclisi
15151;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016T;terapia ev
15152;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016T;terapia ev
15153;procedure clinico assistenziali;Bendaggi;023T;bendaggi
15154;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
15158;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie ev;016T;terapie ev
15163;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016T;terapia infusionale
15164;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cv;020T;gestione cv
15168;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
15170;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie endovenose;016T;terapie endovenose
15172;procedure clinico assistenziali;Gestione cateteri vescicali;065T;gestione cateteri vescicali
15176;procedure clinico assistenziali;Terapia sc, im, ev;016T;terapia sc im ev
15177;procedure clinico assistenziali;Cateteri vescicali;065T;cateteri vescicali
15178;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Endovena;016T;endovena
15180;procedure clinico assistenziali;sostituzione cv;065T;sostituzione cv
15183;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusiva;016T;terapia infusiva
15184;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusiva;016T;terapia infusiva
15186;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007T;gestione cvc
15187;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
15188;procedure clinico assistenziali;Cateteri;065T;cateteri
15189;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
15192;Educazione Sanitaria;Supporto psicologico;169R;supporto psicologico
15193;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi del sangue;033T;prelievi del sangue
15195;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
15202;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboclisi;016T;fleboclisi
15203;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016T;terapia ev
15209;procedure clinico assistenziali;Broncospirazione;045T;broncospirazione
15212;procedure clinico assistenziali;Gestione e sostituzione Peg;055T;gestione e sostituzione peg
15213;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;026T;terapia infusionale
15214;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016T;terapia endovenosa
15215;Medicazione semplice;Medicazione e gestione peg;055T;medicazione e gestione peg
15216;procedure clinico assistenziali;Posizionamento cv;065T;posizionamento cv
15219;procedure clinico assistenziali;Gestione cv;065T;gestione cv
15220;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Somministrazione th ev;016T;somministrazione th ev
15221;procedure clinico assistenziali;Gestione peg;055T;gestione peg
15223;procedure clinico assistenziali;Gestione terapie ev, sc, im;016T;gestione terapie ev sc im
15224;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016T;terapia ev
15225;procedure clinico assistenziali;Gestione peg;055T;gestione peg
15226;procedure clinico assistenziali;Terapia i.v.;016T;terapia iv
15227;Medicazioni Avanzate;Medicazione complessa;032T;medicazione complessa
15228;procedure clinico assistenziali;Gestione Peg;055T;gestione peg
15229;procedure clinico assistenziali;sostituzione catetere vescicale;065T;sostituzione catetere vescicale
15231;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016T;terapia infusionale
15232;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
15233;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
15234;Medicazioni Avanzate;Medicazione comlessa;032T;medicazione comlessa
15235;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Esami ematici;033T;esami ematici
15239;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016T;terapia infusionale
15241;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;posizionamento e gestione cateteri venosi periferici;020T;posizionamento e gestione cateteri venosi periferici
15243;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;posizionamento  gestione catetere venoso periferico;020T;posizionamento  gestione catetere venoso periferico
15244;procedure clinico assistenziali;GESTIONE CATETERE VEN0SO PERIFERICO;020T;gestione catetere venso periferico
15245;procedure clinico assistenziali;Posizionamento catetere vescicale e gestione;065T;posizionamento catetere vescicale e gestione
15246;procedure clinico assistenziali;Sostituzione cv;065T;sostituzione cv
15247;procedure clinico assistenziali;Sostituzione catetere vescicale;065T;sostituzione catetere vescicale
15248;procedure clinico assistenziali;cateterismo vesciale;065T;cateterismo vesciale
15249;procedure clinico assistenziali;cambio cateteri;065T;cambio cateteri
15251;procedure clinico assistenziali;Sostituzione catetere;065T;sostituzione catetere
15255;procedure clinico assistenziali;sostituzione cateteri vescicali;065T;sostituzione cateteri vescicali
