index	macroprestazione	testo	testo_pulito	cod_valoremedio_liquidazione
24078	procedure clinico assistenziali	clismi evacuanti	clismi evacuanti	080T
24080	procedure clinico assistenziali	clistere	clistere	080T
24081	Monitoraggi e Misurazioni	Controllo parametri vitali	controllo parametri vitali	004T
24083	Educazione Sanitaria	Counseling	counseling	122R
24084	Educazione Sanitaria	EDUCAZIONE TERAPEUTICA	educazione terapeutica	122R
24085	Educazione Sanitaria	educazione terapeutica	educazione terapeutica	122R
24086	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi venosi	gestione accessi venosi	019T
24091	Medicazioni Avanzate	Medicazioni ferite chirurgiche	medicazioni ferite chirurgiche	031T
24092	Medicazioni Avanzate	MEDICAZIONI PIEDE DIABETICO	medicazioni piede diabetico	033T
24099	procedure clinico assistenziali	gestione stomie intestinali/nefrostomie/urostomie/epicistostomie	gestione stomie intestinalinefrostomieurostomieepicistostomie	075T
24103	procedure clinico assistenziali	gestione peg e net	gestione peg e net	055T
24104	procedure clinico assistenziali	somministrazione terapia intramuscolare	somministrazione terapia intramuscolare	019T
24105	procedure clinico assistenziali	gestione stomie	gestione stomie	075T
24106	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	033T
24107	Educazione Sanitaria	Supporto psicologico	supporto psicologico	080T
24108	procedure clinico assistenziali	CLISTERI	clisteri	122R
24109	Educazione Sanitaria	supporto al caregiver	supporto al caregiver	122R
24110	procedure clinico assistenziali	gestione stomie	gestione stomie	075T
24111	Medicazioni Avanzate	GESTIONE TPN	gestione tpn	055T
24112	Medicazioni Avanzate	lesioni traumatiche	lesioni traumatiche	032T
24113	Monitoraggi e Misurazioni	RILEVAZIONE PARAMETRI VITALI	rilevazione parametri vitali	004T
24114	procedure clinico assistenziali	gestione tracheostomia	gestione tracheostomia	045T
24115	procedure clinico assistenziali	somministrazione terapia (TAID)	somministrazione terapia taid	019T
24117	procedure clinico assistenziali	gestione nutrizione enterale e parenterale	gestione nutrizione enterale e parenterale	055T
24119	Educazione Sanitaria	educazione e supervisione alla gestione delle stomie	educazione e supervisione alla gestione delle stomie	077T
24123	procedure clinico assistenziali	Gestioni terapie enterale/parenterale	gestioni terapie enteraleparenterale	055T
24126	procedure clinico assistenziali	assistenza paziente diabetico con lesioni	assistenza paziente diabetico con lesioni	032T
24127	Educazione Sanitaria	educazione	educazione	032T
24128	Educazione Sanitaria	Educazione/insegnamento	educazioneinsegnamento	122R
24129	Monitoraggi e Misurazioni	controllo PV, ispezione cutanea	controllo pv ispezione cutanea	122R
24130	Educazione Sanitaria	addestramento care giver	addestramento care giver	122R
24131	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	122R
24132	procedure clinico assistenziali	ispezioni cutanee	ispezioni cutanee	122R
24133	procedure clinico assistenziali	cateterismo vescicale	cateterismo vescicale	065T
24136	Cure Palliative	valutazione del dolore	valutazione del dolore	004T
24137	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi venosi periferici e centrali	gestione accessi venosi periferici e centrali	007T
24139	Educazione Sanitaria	educazione caregiver	educazione caregiver	122R
24140	Medicazione semplice	Bendaggio elastocompressivo	bendaggio elastocompressivo	023T
24141	procedure clinico assistenziali	clistere	clistere	080T
24143	procedure clinico assistenziali	clistere	clistere	080T
24144	Educazione Sanitaria	supporto psicologico	supporto psicologico	169R
24145	procedure clinico assistenziali	APPLICAZIONE CATETERE VESCICALE	applicazione catetere vescicale	065T
24147	procedure clinico assistenziali	gestione tracheo	gestione tracheo	045T
24148	procedure clinico assistenziali	gestione nutrizione parenterale	gestione nutrizione parenterale	016T
24149	Cure Palliative	sostegno psicologico, sostegno al lutto...	sostegno psicologico sostegno al lutto	169R
24150	procedure clinico assistenziali	ipodermoclisi	ipodermoclisi	019T
24152	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Npt	npt	055T
24153	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi venosi centrali	gestione accessi venosi centrali	016T
24157	procedure clinico assistenziali	clistere	clistere	080T
24159	procedure clinico assistenziali	sostituzione e gestione peg	sostituzione e gestione peg	055T
24162	procedure clinico assistenziali	Ipodermoclisi	ipodermoclisi	019T
24163	procedure clinico assistenziali	Gestione e valutazione dolore	gestione e valutazione dolore	004T
24164	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia endovenosa	terapia endovenosa	016T
24165	procedure clinico assistenziali	Infusione terapia sottocutanea	infusione terapia sottocutanea	016T
24166	procedure clinico assistenziali	Clisteri	clisteri	019T
24169	Monitoraggi e Misurazioni	Controllo parametri vitali	controllo parametri vitali	004T
24170	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi venosi	gestione accessi venosi	019T
24171	procedure clinico assistenziali	Cateteri vescicali	cateteri vescicali	065T
24172	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	122R
24175	procedure clinico assistenziali	Cateterismi vescicali	cateterismi vescicali	065T
24177	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi venosi	prelievi venosi	033T
24181	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione catetere centrale	gestione catetere centrale	007T
24182	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione catetere centrale	gestione catetere centrale	007T
24187	procedure clinico assistenziali	Sostituzione cv	sostituzione cv	065T
24188	Monitoraggi e Misurazioni	Misurazione parametri vitali	misurazione parametri vitali	004T
24196	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia ev	terapia ev	016T
24197	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	122R
24201	Monitoraggi e Misurazioni	Rilevazione  glicemia	rilevazione  glicemia	004T
24202	procedure clinico assistenziali	Sostituzione catetere vescicale	sostituzione catetere vescicale	065T
24203	procedure clinico assistenziali	NPT	npt	016T
24204	Educazione Sanitaria	educazione sanitaria gestione stomie	educazione sanitaria gestione stomie	077T
24207	procedure clinico assistenziali	Npt	npt	016T
24209	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione Picc	gestione picc	007T
24212	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione cateteri midline	gestione cateteri midline	007T
24213	Medicazione semplice	Medicazione	medicazione	031T
24215	Medicazione semplice	Fasciatura	fasciatura	023T
24218	procedure clinico assistenziali	Bendaggi	bendaggi	023T
24219	procedure clinico assistenziali	Cateteri vescicali	cateteri vescicali	065T
24220	procedure clinico assistenziali	Clistere	clistere	080T
24223	Educazione Sanitaria	Supporto psicologico/sociale	supporto psicologicosociale	169R
24225	procedure clinico assistenziali	Igiene personale	igiene personale	105T
24231	Medicazione semplice	Medicazione cateteri venosi centrali	medicazione cateteri venosi centrali	007R
24233	Educazione Sanitaria	Educazione alla famiglia	educazione alla famiglia	122R
24234	procedure clinico assistenziali	Gestione della Peg	gestione della peg	055T
24235	procedure clinico assistenziali	Sostituzione CV	sostituzione cv	065T
24236	Educazione Sanitaria	Addestramento/educazione alla famiglia	addestramentoeducazione alla famiglia	122R
24239	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi venosi	prelievi venosi	033T
24241	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	122R
24245	procedure clinico assistenziali	Sostituzione catetere	sostituzione catetere	065T
24247	procedure clinico assistenziali	Posizionamento e cambio catetere vescicale	posizionamento e cambio catetere vescicale	065T
24250	Medicazione semplice	Bendaggio elasto contenitivo	bendaggio elasto contenitivo	023T
24252	procedure clinico assistenziali	Clistere evacuativo	clistere evacuativo	080T
24254	procedure clinico assistenziali	Terapie sottocute	terapie sottocute	019T
24255	Medicazioni Avanzate	Medicazione lesione	medicazione lesione	032T
24256	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione cvc	gestione cvc	007T
24258	procedure clinico assistenziali	Manutenzione CVC	manutenzione cvc	007T
24259	procedure clinico assistenziali	Clistere evacuativo	clistere evacuativo	080T
24260	Educazione Sanitaria	Educazione terapeutica	educazione terapeutica	122R
24262	Educazione Sanitaria	Educazione npt,ecc	educazione nptecc	055T
24263	procedure clinico assistenziali	Gestione tracheostomia	gestione tracheostomia	045T
24264	Medicazioni Avanzate	Medicazione avanzata	medicazione avanzata	032T
24265	procedure clinico assistenziali	Reperimento accessi venosi cvp	reperimento accessi venosi cvp	016T
24275	Medicazione semplice	Medicazioni catetere venosi centrali	medicazioni catetere venosi centrali	007T
24276	procedure clinico assistenziali	idratazione sottocute	idratazione sottocute	019T
24277	Educazione Sanitaria	Educazione terapia nutrizionale enterale	educazione terapia nutrizionale enterale	016T
24278	procedure clinico assistenziali	Gestione TRACHEO	gestione tracheo	045T
24280	Educazione Sanitaria	Educazione Sanitaria	educazione sanitaria	122R
24281	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
24282	Educazione Sanitaria	Colloquio con familiare	colloquio con familiare	122R
24285	Medicazione semplice	Medicazioni accesso venoso	medicazioni accesso venoso	007T
24286	Educazione Sanitaria	Sostegno alle famiglie	sostegno alle famiglie	122R
24288	Monitoraggi e Misurazioni	Controllo parametri	controllo parametri	004T
24289	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	122R
24291	Educazione Sanitaria	Educazione caragivers	educazione caragivers	122R
24293	PAI, pianificazione, valutazione	valutazione dei bisogni	valutazione dei bisogni	122R
24294	procedure clinico assistenziali	Gestione catetere vescicale	gestione catetere vescicale	065T
24296	procedure clinico assistenziali	Sostituzioni PEG	sostituzioni peg	055T
24298	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi venosi centrali	gestione accessi venosi centrali	007T
24299	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione picc	gestione picc	007T
24301	Educazione Sanitaria	colloquio familiare/ assistito	colloquio familiare assistito	122R
24302	Monitoraggi e Misurazioni	Controllo sintomi e supporto psicologico	controllo sintomi e supporto psicologico	169T
24303	Educazione Sanitaria	colloqui con pz e parenti	colloqui con pz e parenti	169T
24304	procedure clinico assistenziali	Clistere	clistere	080T
24308	Educazione Sanitaria	educazione familiari	educazione familiari	122R
24309	Educazione Sanitaria	Educazione al care giver	educazione al care giver	122R
24310	procedure clinico assistenziali	Cambio catetere vescicale	cambio catetere vescicale	065T
24311	procedure clinico assistenziali	Somministrazione per via parenterale	somministrazione per via parenterale	016T
24312	procedure clinico assistenziali	Gestioni nutrizioni	gestioni nutrizioni	019T
24314	PAI, pianificazione, valutazione	Accertamento inf.	accertamento inf	122R
24316	Educazione Sanitaria	Educazione al csregiver al riconoscimento di alterazioni e complicanze	educazione al csregiver al riconoscimento di alterazioni e complicanze	122R
24317	procedure clinico assistenziali	Posizionamento intima sottocute	posizionamento intima sottocute	019T
24318	procedure clinico assistenziali	Gestione PEG e nutrizione enterale	gestione peg e nutrizione enterale	055T
24322	procedure clinico assistenziali	Gestione stomie	gestione stomie	075T
24323	Educazione Sanitaria	Educazione alla mobilizzazione	educazione alla mobilizzazione	091T
24325	procedure clinico assistenziali	Tp sc	tp sc	019T
24328	Monitoraggi e Misurazioni	Parametri vitali	parametri vitali	004T
24330	procedure clinico assistenziali	Sostituzione peg	sostituzione peg	055T
24333	Cure Palliative	Preparazioni infusore antalgici sedativi	preparazioni infusore antalgici sedativi	019R
24334	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
24336	procedure clinico assistenziali	Cambio peg	cambio peg	055T
24339	Medicazione semplice	Medicazione e gestione CVC	medicazione e gestione cvc	007T
24343	procedure clinico assistenziali	Gestione idratazione sottocutanea	gestione idratazione sottocutanea	019T
24344	PAI, pianificazione, valutazione	Valutazione sintomi	valutazione sintomi	122R
24345	procedure clinico assistenziali	Gestione del tracheo	gestione del tracheo	045T
24347	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Tp ev	tp ev	016T
24348	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia EV	terapia ev	016T
24349	procedure clinico assistenziali	Gestione sacche  nutrizionali	gestione sacche  nutrizionali	056T
24352	procedure clinico assistenziali	Somministrazione farmaci intramuscolo	somministrazione farmaci intramuscolo	019T
24353	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Infusioni antibiotici endovena	infusioni antibiotici endovena	016T
24354	procedure clinico assistenziali	Gestione stomie derivative	gestione stomie derivative	075T
24355	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi venosi	gestione accessi venosi	007T
24356	procedure clinico assistenziali	Gestione sng e peg	gestione sng e peg	055T
24357	procedure clinico assistenziali	Esplorazione rettale	esplorazione rettale	075T
24358	procedure clinico assistenziali	Esplorazione rettale	esplorazione rettale	075T
24359	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia endovenosa	terapia endovenosa	016T
24360	procedure clinico assistenziali	Sostituzione sondino naso gastrico e peg	sostituzione sondino naso gastrico e peg	055T
24361	procedure clinico assistenziali	ipodermoclisi	ipodermoclisi	019T
24362	procedure clinico assistenziali	gestione cateteri venosi centrali	gestione cateteri venosi centrali	007T
24363	procedure clinico assistenziali	gestione c.v.	gestione cv	007T
24367	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	posizioanmento di cvp ev o ipodermo	posizioanmento di cvp ev o ipodermo	016T
24368	procedure clinico assistenziali	gestione PEG	gestione peg	055T
24369	procedure clinico assistenziali	gestione npt, fleboclisi, nutrizioni eneterali	gestione npt fleboclisi nutrizioni eneterali	016T
24370	procedure clinico assistenziali	cambi di catetere vescicale	cambi di catetere vescicale	065T
24371	Educazione Sanitaria	educazione terapeutica, informazione e attivazione Pz care giver supporto e sorveglianza nel tempo	educazione terapeutica informazione e attivazione pz care giver supporto e sorveglianza nel tempo	122R
24372	procedure clinico assistenziali	gestione terapia ev e intramuscolare	gestione terapia ev e intramuscolare	016T
24373	Monitoraggi e Misurazioni	CONTROLLO STOMIE ( UROSTOMIA, COLONSTOMIE ILEOSTOMIE )	controllo stomie  urostomia colonstomie ileostomie 	075T
24375	Medicazione semplice	bendaggi complessi	bendaggi complessi	023T
24379	procedure clinico assistenziali	Clisteri	clisteri	080T
24380	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapie ev ,im , sc	terapie ev im  sc	019T
24381	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	medicazione CVC	medicazione cvc	007T
24382	Monitoraggi e Misurazioni	controllo e medicazione accessi venosi centrali	controllo e medicazione accessi venosi centrali	007T
24383	Educazione Sanitaria	ADDESTRAMENTO/EDUCAZIONE	addestramentoeducazione	122R
24384	procedure clinico assistenziali	sostituzione catetere vescicale	sostituzione catetere vescicale	065T
24385	Educazione Sanitaria	interventi di educazione terapeutica (clisteri-urocontrol- prevenzione decubiti)	interventi di educazione terapeutica clisteriurocontrol prevenzione decubiti	122R
24386	procedure clinico assistenziali	clisteri evacuanti	clisteri evacuanti	080T
24388	procedure clinico assistenziali	Gestione nutrizioni parentetali	gestione nutrizioni parentetali	016T
24389	Educazione Sanitaria	educazione terapeutica	educazione terapeutica	122R
24392	Educazione Sanitaria	educazione alla gestione della PEG	educazione alla gestione della peg	055T
24394	PAI, pianificazione, valutazione	Compilazione Schede e Scale di valutazione	compilazione schede e scale di valutazione	122R
24395	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo venoso	prelievo venoso	033T
24396	Educazione Sanitaria	counselling	counselling	122R
24397	procedure clinico assistenziali	gestione peg ed educazione	gestione peg ed educazione	055T
24403	Medicazioni Avanzate	MEDICAZIONI	medicazioni	031T
24405	procedure clinico assistenziali	terapia parenterale	terapia parenterale	016T
24406	procedure clinico assistenziali	somministrazione/gestione  terapia ev	somministrazionegestione  terapia ev	016T
24408	procedure clinico assistenziali	gestione accessi venosi centrale (medicazione + terapia)	gestione accessi venosi centrale medicazione  terapia	019T
24409	Medicazione semplice	bendaggi lesioni vascolari	bendaggi lesioni vascolari	023T
24411	Monitoraggi e Misurazioni	Rilevazione parametri vitali	rilevazione parametri vitali	004T
24412	procedure clinico assistenziali	gestione peg	gestione peg	055T
24413	procedure clinico assistenziali	gestione pazienti con PEG, controllo stoma, controllo divice, controllo gestione	gestione pazienti con peg controllo stoma controllo divice controllo gestione	055T
24416	procedure clinico assistenziali	gestione PEG e TRACHEO	gestione peg e tracheo	055T
24418	procedure clinico assistenziali	gestione peg	gestione peg	055T
24420	procedure clinico assistenziali	sostituzione Catetere Vescicale,controllo pervietà circuito, e controllo minzione.	sostituzione catetere vescicalecontrollo pervietà circuito e controllo minzione	065T
24421	procedure clinico assistenziali	sostituzioni + controlli PEG	sostituzioni  controlli peg	055T
24426	Educazione Sanitaria	Ascolto e supporto psicologico	ascolto e supporto psicologico	169R
24427	procedure clinico assistenziali	tp ipodermica	tp ipodermica	019T
24428	procedure clinico assistenziali	rilevazione glicemia	rilevazione glicemia	004T
24429	Medicazione semplice	medicazioni e gestione cateteri centrali PICC/MIDLINE ed infusioni NPT/ ATB	medicazioni e gestione cateteri centrali piccmidline ed infusioni npt atb	032T
24430	procedure clinico assistenziali	gestione terapie parenterali (flebo endovene,i.m., s.c., ipodermiche	gestione terapie parenterali flebo endoveneim sc ipodermiche	016T
24431	Medicazione semplice	bendaggi	bendaggi	023T
24433	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione accessi venosi periferici e centrali	gestione accessi venosi periferici e centrali	007T
24434	procedure clinico assistenziali	gestione accessi venosi centrali e venosi	gestione accessi venosi centrali e venosi	007T
24435	PAI, pianificazione, valutazione	Programmazione esami ematici per domicilio	programmazione esami ematici per domicilio	033T
24436	procedure clinico assistenziali	gestione device centrali	gestione device centrali	007T
24438	procedure clinico assistenziali	Esecuzione terapia intramuscolare	esecuzione terapia intramuscolare	032T
24439	PAI, pianificazione, valutazione	Somministrazione scale di valutazione	somministrazione scale di valutazione	019T
24440	Medicazioni Avanzate	medicazioni vascolare	medicazioni vascolare	032T
24441	procedure clinico assistenziali	gestione peg	gestione peg	055T
24442	procedure clinico assistenziali	Terapia Idratante Ipodermica	terapia idratante ipodermica	019T
24446	procedure clinico assistenziali	Clisma/clistere	clismaclistere	080T
24447	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapie ev	terapie ev	016T
24448	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapie parenterali	terapie parenterali	016T
24450	Medicazione semplice	Medicazione ferita chirurgica	medicazione ferita chirurgica	031T
24452	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapia infusionale EV/IPOdermo, NTP	terapia infusionale evipodermo ntp	016T
24453	Educazione Sanitaria	supporto psicologico	supporto psicologico	169R
24455	procedure clinico assistenziali	manovre per l'eliminazione urinaria (posizionamento/sostituzione/rimozione catetere vesciale)	manovre per leliminazione urinaria posizionamentosostituzionerimozione catetere vesciale	065T
24458	procedure clinico assistenziali	gestione e sostituzione catetere vescicale	gestione e sostituzione catetere vescicale	065T
24460	procedure clinico assistenziali	intramuscolo	intramuscolo	019T
24462	Medicazione semplice	medicazione picc o midline	medicazione picc o midline	007T
24466	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	accessi venosi	accessi venosi	016T
24467	procedure clinico assistenziali	posizionamento peg	posizionamento peg	055T
24468	procedure clinico assistenziali	GESTIONE VIE URINARIE	gestione vie urinarie	065T
24469	Educazione Sanitaria	interventi educativi o rinforzo	interventi educativi o rinforzo	122R
24470	procedure clinico assistenziali	peg	peg	055T
24471	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	trasfusione	trasfusione	019T
24472	procedure clinico assistenziali	terapie intramuscolari	terapie intramuscolari	019T
24473	Educazione Sanitaria	educazione sanitaria/addestramento	educazione sanitariaaddestramento	122R
24474	procedure clinico assistenziali	clistere	clistere	080T
24476	procedure clinico assistenziali	gestione peg	gestione peg	055T
24477	Educazione Sanitaria	educazione/addestramento	educazioneaddestramento	122R
24480	Educazione Sanitaria	educazione terapeutica	educazione terapeutica	122R
24482	Educazione Sanitaria	ADDESTRAMENTO AL CARE GIVER ALLA GESTIONE TERAPIA EV IPODERMO	addestramento al care giver alla gestione terapia ev ipodermo	019T
24483	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione accessi vascolari	gestione accessi vascolari	016T
24484	Medicazione semplice	medicazione ferite chirugiche e rimozione punti	medicazione ferite chirugiche e rimozione punti	032T
24486	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Medicazioni CVC	medicazioni cvc	019T
24488	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	122R
24489	Educazione Sanitaria	Educazione caregiver	educazione caregiver	122R
24490	Educazione Sanitaria	sormazione ed addestramento	sormazione ed addestramento	122R
24491	Educazione Sanitaria	supporto al caregiver	supporto al caregiver	122R
24492	procedure clinico assistenziali	IPODEMOCLISI	ipodemoclisi	019T
24493	Medicazioni Avanzate	medicazioni	medicazioni	031T
24494	procedure clinico assistenziali	cateterismo vecicale	cateterismo vecicale	065T
24495	Monitoraggi e Misurazioni	Controllo Peg	controllo peg	055T
24497	Educazione Sanitaria	formazione e insegnamento ai familiari e care-giver	formazione e insegnamento ai familiari e caregiver	122R
24498	Monitoraggi e Misurazioni	Monitoraggio dolore	monitoraggio dolore	004T
24500	procedure clinico assistenziali	gestione tracheostomia	gestione tracheostomia	045T
24501	procedure clinico assistenziali	gestione della terapia endovenosa e tp ipodermica	gestione della terapia endovenosa e tp ipodermica	016T
24502	procedure clinico assistenziali	gestione peg	gestione peg	055T
24503	procedure clinico assistenziali	gestione sonde gastrostomiche con educazione nutrizione enterale	gestione sonde gastrostomiche con educazione nutrizione enterale	066T
24504	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione accessi venosi	gestione accessi venosi	029T
24505	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	033T
24506	Educazione Sanitaria	supporto psicologico	supporto psicologico	169R
24507	Medicazioni Avanzate	medicazioni semplici e complessi	medicazioni semplici e complessi	032T
24509	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione accessi venosi	gestione accessi venosi	029T
24510	procedure clinico assistenziali	terapia intramuscolare	terapia intramuscolare	019T
24511	procedure clinico assistenziali	Terapia intramuscolare	terapia intramuscolare	019T
24513	procedure clinico assistenziali	gestione TP :EV,IPODERMO	gestione tp evipodermo	033T
24515	procedure clinico assistenziali	terapia intramusciolare	terapia intramusciolare	019T
24519	procedure clinico assistenziali	somm.ne tp Im	sommne tp im	019T
24520	Medicazioni Avanzate	Medicazione	medicazione	031T
24535	procedure clinico assistenziali	gestione stomie	gestione stomie	075T
24536	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	004T
24538	procedure clinico assistenziali	terapie im,sc,os	terapie imscos	019T
24539	Monitoraggi e Misurazioni	Parametri vitali rilevazione	parametri vitali rilevazione	004T
24540	Monitoraggi e Misurazioni	rilevazione parametri	rilevazione parametri	004T
24541	procedure clinico assistenziali	Clisteri evacuativi	clisteri evacuativi	080T
24544	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
24545	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	122R
24546	procedure clinico assistenziali	Bendaggi	bendaggi	023T
24549	procedure clinico assistenziali	CLISTERE EVACUATIVO	clistere evacuativo	080T
24550	procedure clinico assistenziali	catetere vescicale sostituzione	catetere vescicale sostituzione	065T
24551	procedure clinico assistenziali	gestione stomie	gestione stomie	075T
24552	procedure clinico assistenziali	gestione stomie	gestione stomie	075T
24553	procedure clinico assistenziali	clistere evacuativi	clistere evacuativi	080T
24555	procedure clinico assistenziali	CLISTERE EVACUATORE	clistere evacuatore	080T
24556	procedure clinico assistenziali	Gestione peg	gestione peg	055T
24558	procedure clinico assistenziali	Gestione stomie	gestione stomie	075T
24559	procedure clinico assistenziali	Enteroclismi	enteroclismi	080T
24562	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	GESTIONE CVC	gestione cvc	007T
24567	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione picc e midline	gestione picc e midline	007T
24568	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione catetere periferico	gestione catetere periferico	029T
24570	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi centrali	gestione accessi centrali	007T
24571	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo arterioso	prelievo arterioso	033T
24572	procedure clinico assistenziali	Esplorazione rettale	esplorazione rettale	075T
24573	procedure clinico assistenziali	Gestione alvo	gestione alvo	075T
24574	procedure clinico assistenziali	GESTIONE E SOMMINISTRAZIONE TP	gestione e somministrazione tp	019T
24575	procedure clinico assistenziali	Terapia sottocute	terapia sottocute	019T
24577	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	GESTIONE PICC	gestione picc	007T
24578	procedure clinico assistenziali	Igiene	igiene	105T
24582	procedure clinico assistenziali	Terapia im	terapia im	019T
24583	procedure clinico assistenziali	Gestione Ned	gestione ned	019T
24584	procedure clinico assistenziali	Clisteri	clisteri	080T
24588	procedure clinico assistenziali	Nutrizione parenterale/enterale	nutrizione parenteraleenterale	055T
24589	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	033T
24596	Medicazioni Avanzate	medicazioni ferite chirurgiche	medicazioni ferite chirurgiche	031T
24597	Medicazione semplice	Bendaggi	bendaggi	023T
24598	procedure clinico assistenziali	Gestione nutrizione enterale	gestione nutrizione enterale	016T
24599	procedure clinico assistenziali	Gestione dispositivi vene centrali picc porte ecc	gestione dispositivi vene centrali picc porte ecc	007T
24600	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia endovenosa	terapia endovenosa	016T
24601	procedure clinico assistenziali	Gestione Nutrizione enterale	gestione nutrizione enterale	016T
24602	Monitoraggi e Misurazioni	Rilievo parametri vitali	rilievo parametri vitali	044T
24603	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Npt	npt	016T
24605	procedure clinico assistenziali	Terapie intramuscolari	terapie intramuscolari	019T
24606	procedure clinico assistenziali	Gestione stomie	gestione stomie	075T
24607	procedure clinico assistenziali	Terapia e v	terapia e v	016T
24608	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia endovenosa	terapia endovenosa	016T
24609	procedure clinico assistenziali	Clisteri	clisteri	080T
24611	Educazione Sanitaria	Educazione terapeutica	educazione terapeutica	122R
24613	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	medicazione picc	medicazione picc	007T
24614	procedure clinico assistenziali	Gestione nutrizioni enterali	gestione nutrizioni enterali	016T
24622	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
24624	procedure clinico assistenziali	Gestione ulcere	gestione ulcere	032T
24627	procedure clinico assistenziali	Gestione Peg, istruzione del caregiver	gestione peg istruzione del caregiver	055T
24628	procedure clinico assistenziali	Gestione P.E.G.	gestione peg	055T
24631	Monitoraggi e Misurazioni	Rilevazione e valutazione ne parametri vitali	rilevazione e valutazione ne parametri vitali	004T
24633	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	122R
24634	Educazione Sanitaria	Formazione caregiver	formazione caregiver	122R
24635	Educazione Sanitaria	Formazione CAREGIVER	formazione caregiver	122R
24636	procedure clinico assistenziali	Gestione tracheostomia	gestione tracheostomia	045T
24637	procedure clinico assistenziali	Broncoaspirazione	broncoaspirazione	045T
24638	procedure clinico assistenziali	Broncoaspirazione	broncoaspirazione	045T
24639	Medicazioni Avanzate	Medicazione peg	medicazione peg	055T
24640	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Infusioni terapia endovenosa	infusioni terapia endovenosa	016T
