Macroprestazione;Note infermieristiche;Prestazione da nomenclatore;;;
Monitoraggi e Misurazioni;monitoraggio;004t;;;
procedure clinico assistenziali;gestione cateteri venosi centrali;007t;;;
Monitoraggi e Misurazioni;monitoraggio;004t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016t;;;
Educazione Sanitaria;educazione sanitaria;122r;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia idratante;016t;;;
Monitoraggi e Misurazioni;Monitoraggio clinico;004t;;;
procedure clinico assistenziali;Terapia sottocute ipodermica;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;I terapia infusionionale;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;020t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
procedure clinico assistenziali;Terapia iniettiva;;;;
Medicazioni Avanzate;Medicazioni semplici e complesse;032t;;;
Educazione Sanitaria;addestramento;;;;
procedure clinico assistenziali;Gestione stomie;;;;
Medicazioni Avanzate;medicazioni semplici e complesse;032t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;020t;;;
procedure clinico assistenziali;Terapia iniettiva;;;;
procedure clinico assistenziali;Gestione cateteri vescicali;065t;;;
procedure clinico assistenziali;Gestione cateteri vescicali;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusionale;016t;;;
Educazione Sanitaria;Informazioni riguardo alla richiesta di protesi ed ausili;;;;
procedure clinico assistenziali;Gestione cateterismo;065t;;;
procedure clinico assistenziali;Gestione catetere vescicale;065t;;;
procedure clinico assistenziali;Sostituzione cateteri vescicali;065t;;;
procedure clinico assistenziali;Terapia intramuscolare;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
PAI, pianificazione, valutazione;Presa in carico pazienti da ospedale a cavs e progetto dimissione;;;;
procedure clinico assistenziali;Supporto nello sbrigare le pratiche burocratiche;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;fleboclisi;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusioni;016t;;;
Medicazioni Avanzate;Medicazioni complesse;032t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione fleboclisi;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizionamento CVP;020t;;;
procedure clinico assistenziali;Gestione Vad;;;;
Educazione Sanitaria;ascolto del paziente;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007t;;;
Medicazioni Avanzate;Medicazioni complesse;032t;;;
PAI, pianificazione, valutazione;Analisi dei bisogni personali e familiari;;;;
procedure clinico assistenziali;Somministrazione terapia al bisogno;;;;
Medicazione semplice;Medicazione tutore esterno in fratture;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;020t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie endovenose;016t;;;
procedure clinico assistenziali;trasporto;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033t;;;
Medicazione semplice;medicazione;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007t;;;
;;;;;
PAI, pianificazione, valutazione;intervento di rete con servizi sociali;;;;
PAI, pianificazione, valutazione;Intervento di rete;;;;
PAI, pianificazione, valutazione;servizio di rete con oss;;;;
Educazione Sanitaria;Educazione sanitaria stile vita;;;;
procedure clinico assistenziali;interventi urgenti (TSO);;;;
procedure clinico assistenziali;gestione enterostomie;;;;
procedure clinico assistenziali;sostituzione cateteri vescicali;065t;;;
procedure clinico assistenziali;gestione nutrizione parenterale;;;;
;;;;;
Educazione Sanitaria;colloquio;;;;
Educazione Sanitaria;Colloquio con parenti e pazienti;;;;
PAI, pianificazione, valutazione;colloquio con i familiari;;;;
;;;;;
;;;;;
procedure clinico assistenziali;gestione stomie;;;;
procedure clinico assistenziali;gestione alvo;;;;
procedure clinico assistenziali;catetere vescicale;065t;;;
Medicazioni Avanzate;medicazione complessa;032t;;;
procedure clinico assistenziali;Bendaggio semplice;023t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie endovenose;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terepia endovenosa;016t;;;
Medicazioni Avanzate;Medicazioni avanzate;032t;;;
Medicazioni Avanzate;Medicazioni avanzate;032t;;;
Educazione Sanitaria;colloqui di supporto del car giver;;;;
procedure clinico assistenziali;gestione peg;055t;;;
;;;;;
Medicazione semplice;Medicazioni accessi centrali;;;;
procedure clinico assistenziali;Somministrazione farmaci im, ev, sc;016t;;;
procedure clinico assistenziali;terapia i.m.;;;;
procedure clinico assistenziali;Gestione catetere vescicale;065t;;;
procedure clinico assistenziali;gestione catetere vescicale;065t;;;
Medicazioni Avanzate;medicazioni complesse;032t;;;
Educazione Sanitaria;Addestramento care giver;;;;
Medicazione semplice;Medicazioni semplici;031t;;;
;;;;;
procedure clinico assistenziali;pozycionamento catetere  vesicale e gestione;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007t;;;
Medicazione semplice;medicazioni CVC;;;;
;;;;;
;;;;;
Medicazioni Avanzate;Medicazioni complesse;032t;;;
Medicazione semplice;Bendaggio;023t;;;
Educazione Sanitaria;Spiegazione farmaci uso e indicazione;;;;
Educazione Sanitaria;Supporto psicologico;169r;;;
procedure clinico assistenziali;cateterismo vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia ev;016t;;;
procedure clinico assistenziali;Gestione terapia;;;;
procedure clinico assistenziali;somministrazione farmaci;;;;
Monitoraggi e Misurazioni;Parametri vitali;004t;;;
PAI, pianificazione, valutazione;contatti di rete;;;;
procedure clinico assistenziali;Igiene;;;;
Educazione Sanitaria;Counselling care giver;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007t;;;
Medicazione semplice;bendaggio;023t;;;
procedure clinico assistenziali;gestione nutrizione parenterale;;;;
Medicazioni Avanzate;Medicazioni;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizionamento aghi;020t;;;
Medicazioni Avanzate;medicazioni;;;;
procedure clinico assistenziali;gestione nutrizione parenterale;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;TERAPIA PARENTERALE;;;;
procedure clinico assistenziali;gestione peg;055t;;;
procedure clinico assistenziali;posizionamento cateteri vescicali;065t;;;
procedure clinico assistenziali;Gestione catetere vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapie iniettive;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;GESTIONE CVC;007t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033t;;;
;;;;;
Monitoraggi e Misurazioni;Rilevazioni parametri vitali;004t;;;
Monitoraggi e Misurazioni;Rilevazione parametri vitali;004t;;;
Educazione Sanitaria;Indirizzare e suggerire i percorsi relativi ai vari servizi dell'ASL e territoriali;;;;
PAI, pianificazione, valutazione;Rete con servizi territoriali;;;;
;;;;;
;;;;;
PAI, pianificazione, valutazione;Costruzione rete di prossimità;;;;
Educazione Sanitaria;Educazione terapeutica;122r;;;
procedure clinico assistenziali;somm farmaci;;;;
procedure clinico assistenziali;gestione stomie;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi venosi;033t;;;
procedure clinico assistenziali;Utilizzo macchina tosse;;;;
Medicazioni Avanzate;Medicazione Ldp;;;;
;;;;;
Medicazioni Avanzate;Medicazione lesioni da pressione;;;;
Medicazioni Avanzate;Medicazioni;;;;
procedure clinico assistenziali;Mobilizzazione paziente;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Educazione Sanitaria;Istruzione familiare sulla gestione del paziente a domicilio;;;;
Medicazione semplice;Medicazioni cvc;007t;;;
procedure clinico assistenziali;Terapia im;;;;
Cure Palliative;Terapie palliative;;;;
Cure Palliative;Cure palliative;;;;
Cure Palliative;Cure paliative;;;;
procedure clinico assistenziali;Clisteri;;;;
procedure clinico assistenziali;gestione cateteri vescicali;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
procedure clinico assistenziali;Gestione catetere vescicale;065t;;;
procedure clinico assistenziali;Terapia infusione e sottocutaneo;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizionamento accessi venosi e sottocutanei;020t;;;
procedure clinico assistenziali;Terapia infusionale e sottocutaneo;016t;;;
procedure clinico assistenziali;Terapia im;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Medicazione semplice;Mesicazioni accessi venosi;;;;
Educazione Sanitaria;Educazione caregivers;;;;
procedure clinico assistenziali;Terapia intramuscolare;;;;
Medicazioni Avanzate;Medicazioni;;;;
procedure clinico assistenziali;Cambio cannula tracheo;;;;
procedure clinico assistenziali;Terapie sc;;;;
procedure clinico assistenziali;Sostituzione catetere vescicale;065t;;;
procedure clinico assistenziali;Terapie im;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Impianti venosi ecoguidati;;;;
procedure clinico assistenziali;Gestione vie urinarie;;;;
procedure clinico assistenziali;Terapia im;;;;
procedure clinico assistenziali;gestione catetere venoso centrale;007t;;;
Educazione Sanitaria;Educazione care giver;;;;
Medicazioni Avanzate;Medicazioni;;;;
procedure clinico assistenziali;bendaggi;023t;;;
Educazione Sanitaria;Educazione giver;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie infusionali;016t;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa e sottocutanea;016t;;;
Educazione Sanitaria;Counseling;;;;
procedure clinico assistenziali;Igiene;;;;
procedure clinico assistenziali;Catetere vescicale;065t;;;
Medicazioni Avanzate;Medicazioni;;;;
procedure clinico assistenziali;Terapia sottocute;;;;
Medicazioni Avanzate;Medicazioni complesse;032t;;;
procedure clinico assistenziali;Cambio catetere vescicale;065t;;;
procedure clinico assistenziali;npt;;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
Medicazione semplice;Posizionamento midline;;;;
procedure clinico assistenziali;Cateteri vescicali;065t;;;
Educazione Sanitaria;Educazione sanitaria;122r;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016t;;;
Cure Palliative;Cure palliative;;;;
procedure clinico assistenziali;Supporto  psicologico;169r;;;
procedure clinico assistenziali;Cateterismo;065t;;;
Educazione Sanitaria;Supporto psicologico;169r;;;
;;;;;
procedure clinico assistenziali;Supporto psicologico pz e caregivers;;;;
;;;;;
;;;;;
procedure clinico assistenziali;Terapia ev e sc;016t;;;
Medicazioni Avanzate;Medicazioni;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Catetere venoso;020t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosisorveglianza infermieristica;033t;;;
procedure clinico assistenziali;Supporti caregiver;;;;
Monitoraggi e Misurazioni;monitoraggi;004t;;;
procedure clinico assistenziali;Sostituzione CV;065t;;;
Medicazione semplice;Posizionamento midline;;;;
Educazione Sanitaria;Ed terapeutica;;;;
;;;;;
Medicazioni Avanzate;Medicazioni arti inf. Superiori;;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Cvc;007t;;;
Educazione Sanitaria;Educazione sanitaria;;;;
procedure clinico assistenziali;Gestione alvo;;;;
Medicazioni Avanzate;Medicazioni;;;;
;;;;;
Educazione Sanitaria;Sostegno psicologico;169r;;;
;;;;;
Medicazioni Avanzate;Medicazione lesione da pressione;;;;
Cure Palliative;Cure palliative;;;;
procedure clinico assistenziali;Catetere. Vescicale;065t;;;
procedure clinico assistenziali;gestione cateteri vescicali;065t;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
procedure clinico assistenziali;Catetere vescicale;065t;;;
procedure clinico assistenziali;Terapia ipodermica;;;;
Cure Palliative;Antalgica;;;;
Medicazioni Avanzate;Medicazione lesioni;;;;
procedure clinico assistenziali;Clistere;;;;
procedure clinico assistenziali;Stomie;;;;
procedure clinico assistenziali;Gestione tracheo;;;;
procedure clinico assistenziali;Sc;;;;
procedure clinico assistenziali;Catetere vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Medicazione CVC;007t;;;
procedure clinico assistenziali;Terapia ipodermica;;;;
procedure clinico assistenziali;Gestione CV;065t;;;
Medicazione semplice;Bendaggi;023t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cateteri venosi centrali;007t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007t;;;
Medicazione semplice;Medicazioni semplici;031t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016t;;;
procedure clinico assistenziali;Somministrazione terapia intramuscolare;;;;
Educazione Sanitaria;Supporto psicologico;169r;;;
Medicazione semplice;Medicazione;;;;
procedure clinico assistenziali;Terapia sc, im, ev, ipodermica;016t;;;
procedure clinico assistenziali;Infusione ipodermica;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Idratazione per via endovenosa;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Somministrazione terapia ev;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016t;;;
procedure clinico assistenziali;Terapia EV e Ipodermo;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie endovenose;016t;;;
procedure clinico assistenziali;Sottocute;;;;
procedure clinico assistenziali;Terapie sottocutaneee;;;;
Educazione Sanitaria;Supporto caregiver;;;;
procedure clinico assistenziali;Ipodermiclisi;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;020t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;020t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;020t;;;
Educazione Sanitaria;Educazione terapeutica;122r;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi;020t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;020t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016t;;;
Medicazioni Avanzate;Medicazioni;;;;
procedure clinico assistenziali;Terapia intramuscolo;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia parenterale;016t;;;
Educazione Sanitaria;educazione sanitaria care giver e counseling;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie infusionali;016t;;;
Medicazioni Avanzate;Medicazione ldp;;;;
Medicazioni Avanzate;Medicazioni complesse;032t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione midline;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia sc;;;;
procedure clinico assistenziali;Terapie sottocutanee;;;;
procedure clinico assistenziali;Terapia im;;;;
procedure clinico assistenziali;Terapia im;;;;
Educazione Sanitaria;educazione;;;;
procedure clinico assistenziali;Clistere;;;;
Medicazione semplice;Medicazione peg;055t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007t;;;
Medicazioni Avanzate;Medicazioni varie da ulcere arti inf decubiti posturali a ferite chirurgiche;;;;
procedure clinico assistenziali;Perette;;;;
procedure clinico assistenziali;Cambio cv;065t;;;
procedure clinico assistenziali;ATB terapia;;;;
procedure clinico assistenziali;Nutrizioni parenterali;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
procedure clinico assistenziali;Bendaggi;023t;;;
Medicazione semplice;Medicazione;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboclisi;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Educazione Sanitaria;Educazione sanitaria;122r;;;
procedure clinico assistenziali;Terapia sottocute;;;;
procedure clinico assistenziali;Clistere evacuativo;;;;
Educazione Sanitaria;Attività educativa e addestramento;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
PAI, pianificazione, valutazione;Sedazione palliativa;;;;
procedure clinico assistenziali;Terapia intramuscolare;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia sc;;;;
procedure clinico assistenziali;Cateterismi;065t;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
procedure clinico assistenziali;Terapia intramuscolare;;;;
procedure clinico assistenziali;Terapie intramuscolari;;;;
procedure clinico assistenziali;Terapie intramuscolo;;;;
procedure clinico assistenziali;Gestione cateterismo;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboclisi;016t;;;
procedure clinico assistenziali;Intramuscolo;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016t;;;
procedure clinico assistenziali;Bendaggi;023t;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
procedure clinico assistenziali;Riposo notturno;;;;
procedure clinico assistenziali;Terapia sottocutanea;;;;
Medicazioni Avanzate;Medicazioni avanzate;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie ev;016t;;;
Monitoraggi e Misurazioni;Esami strumentali;;;;
;;;;;
Educazione Sanitaria;Supporto care giver;;;;
Educazione Sanitaria;supervisione;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cv;020t;;;
Cure Palliative;Terapia del dolore;;;;
Medicazioni Avanzate;Medicazioni e bendaggi arti inferiori;;;;
procedure clinico assistenziali;Ipodermo;;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
procedure clinico assistenziali;Clisteri con sonda;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie endovenose;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Elastomero;;;;
procedure clinico assistenziali;Gestione cateteri vescicali;065t;;;
procedure clinico assistenziali;Terapia intramuscolo;;;;
procedure clinico assistenziali;Terapia IM;;;;
Medicazioni Avanzate;Medicazioni;;;;
procedure clinico assistenziali;Terapia sc, im, ev;016t;;;
procedure clinico assistenziali;Cateteri vescicali;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Endovena;016t;;;
procedure clinico assistenziali;Terapia iniettiva;;;;
procedure clinico assistenziali;sostituzione cv;065t;;;
;;;;;
Medicazione semplice;Medicazioni mammella;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusiva;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusiva;016t;;;
procedure clinico assistenziali;Intramuscolare;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033t;;;
procedure clinico assistenziali;Cateteri;065t;;;
Educazione Sanitaria;Educazione sanitaria;122r;;;
Educazione Sanitaria;Educazione care giver;;;;
procedure clinico assistenziali;Ipodermoclisi;;;;
Educazione Sanitaria;Supporto psicologico;169r;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi del sangue;033t;;;
procedure clinico assistenziali;Intramuscolo;;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
procedure clinico assistenziali;Terapia iniettiva im sc ev;;;;
procedure clinico assistenziali;Supporto cargiver;;;;
procedure clinico assistenziali;I.m.;;;;
procedure clinico assistenziali;terapia intramuscolare;;;;
procedure clinico assistenziali;Gestione alvo;;;;
Medicazioni Avanzate;Medicazioni;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboclisi;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016t;;;
Medicazioni Avanzate;Medicazioni;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboclisi e ipodermoclisi;;;;
Medicazioni Avanzate;Medicazione tracheo;;;;
;;;;;
procedure clinico assistenziali;gestione stomie;;;;
procedure clinico assistenziali;Broncospirazione;045t;;;
procedure clinico assistenziali;Gestione e medicazione tracheo;;;;
procedure clinico assistenziali;Gestione tracheo;;;;
procedure clinico assistenziali;Gestione e sostituzione Peg;055t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;026t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;016t;;;
Medicazione semplice;Medicazione e gestione peg;055t;;;
procedure clinico assistenziali;Posizionamento cv;065t;;;
Medicazione semplice;Medicazione picc/midline/port;;;;
;;;;;
procedure clinico assistenziali;Gestione cv;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Somministrazione th ev;016t;;;
procedure clinico assistenziali;Gestione peg;055t;;;
;;;;;
procedure clinico assistenziali;Gestione terapie ev, sc, im;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016t;;;
procedure clinico assistenziali;Gestione peg;055t;;;
procedure clinico assistenziali;Terapia i.v.;016t;;;
Medicazioni Avanzate;Medicazione complessa;032t;;;
procedure clinico assistenziali;Gestione Peg;055t;;;
procedure clinico assistenziali;sostituzione catetere vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Medicazioni picc;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Medicazioni Avanzate;Medicazione comlessa;032t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Esami ematici;033t;;;
Educazione Sanitaria;Educazione e formazione del care giver;;;;
procedure clinico assistenziali;POSIZIONAMENTO E GESTIONE SNG;;;;
procedure clinico assistenziali;Gestione tracheotomia;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016t;;;
;8;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;posizionamento e gestione cateteri venosi periferici;020t;;;
procedure clinico assistenziali;gestione tracheostomia;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;posizionamento  gestione catetere venoso periferico;020t;;;
procedure clinico assistenziali;GESTIONE CATETERE VEN0SO PERIFERICO;020t;;;
procedure clinico assistenziali;Posizionamento catetere vescicale e gestione;065t;;;
procedure clinico assistenziali;Sostituzione cv;065t;;;
procedure clinico assistenziali;Sostituzione catetere vescicale;065t;;;
procedure clinico assistenziali;cateterismo vesciale;065t;;;
procedure clinico assistenziali;cambio cateteri;065t;;;
procedure clinico assistenziali;Assistenza per pazienti ventilati;;;;
procedure clinico assistenziali;Sostituzione catetere;065t;;;
procedure clinico assistenziali;Gestione sng;;;;
procedure clinico assistenziali;Care giver;;;;
procedure clinico assistenziali;Gestine pazienti in ventilazione meccanica;;;;
procedure clinico assistenziali;sostituzione cateteri vescicali;065t;;;
procedure clinico assistenziali;Sost. Sng;;;;
procedure clinico assistenziali;ecg;;;;
Medicazioni Avanzate;mediczione lesioni;;;;
Educazione Sanitaria;Educazione sanitaria;122r;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007t;;;
;;;;;
procedure clinico assistenziali;Gestione PEG tracheo;;;;
procedure clinico assistenziali;Gestione cateterismo urinario;065t;;;
procedure clinico assistenziali;GESTIONE TRACHEOSTOMIA;;;;
procedure clinico assistenziali;gestioni tracheostomie;;;;
procedure clinico assistenziali;Gestione Peg;;;;
procedure clinico assistenziali;Gest peg;;;;
procedure clinico assistenziali;Gestione catetere vescicale;065t;;;
procedure clinico assistenziali;Gestione peg;;;;
procedure clinico assistenziali;Gestione peg;;;;
procedure clinico assistenziali;Gestione tracheo;;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
procedure clinico assistenziali;Posizionamento catetere vescicale;065t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;emotrasfusione in compresenza del medico specialista (trasfusore);;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;posizionamento ago cannula sotto cute ed endovenoso;020t;;;
Medicazioni Avanzate;Medicazione ulcere;;;;
Medicazioni Avanzate;medicazione complessa;032t;;;
;;;;;
procedure clinico assistenziali;Gestione sng;;;;
procedure clinico assistenziali;Gestione sng;;;;
procedure clinico assistenziali;Gestione catetere;065t;;;
procedure clinico assistenziali;Gestione PEG;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
procedure clinico assistenziali;Gestione cateterismo vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione picc;;;;
procedure clinico assistenziali;Gestione SNG;;;;
procedure clinico assistenziali;Gestione peg;055t;;;
Monitoraggi e Misurazioni;Controllo e valutazione;;;;
procedure clinico assistenziali;gestione catetere vescicale;065t;;;
procedure clinico assistenziali;Posizionamento SNG;;;;
Educazione Sanitaria;educazione alla somministrazione della terapia sottocutanea;;;;
Monitoraggi e Misurazioni;Monitoraggio parametri autorilevati;004t;;;
Educazione Sanitaria;addestramento caregiver;;;;
PAI, pianificazione, valutazione;Orientamento ai servizi territoriali;;;;
PAI, pianificazione, valutazione;Attivazione rete servizi;;;;
Educazione Sanitaria;Educazione terapeutica;122r;;;
;;;;;
PAI, pianificazione, valutazione;Attivazione  rete socio territoriale;;;;
Monitoraggi e Misurazioni;monitoraggio aderenza terapeutica;;;;
PAI, pianificazione, valutazione;Orientamento nei servizi territoriali;;;;
procedure clinico assistenziali;Vaccinazione covid;;;;
;;;;;
Educazione Sanitaria;Counseling;;;;
;;;;;
PAI, pianificazione, valutazione;Visite congiunte con altri attori della rete;;;;
Monitoraggi e Misurazioni;monitoraggio parametri;004t;;;
PAI, pianificazione, valutazione;attivazione di altri setting di cura;;;;
;;;;;
Monitoraggi e Misurazioni;rilevazione parametri vitali;004t;;;
procedure clinico assistenziali;Clisma evacuativo;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
procedure clinico assistenziali;cateterismo vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033t;;;
PAI, pianificazione, valutazione;attivazione rete territoriale;;;;
PAI, pianificazione, valutazione;valutazione setting;;;;
Medicazioni Avanzate;medicazioni;;;;
Monitoraggi e Misurazioni;MONITORAGGIO PARAMETRI;004t;;;
;;;;;
;;;;;
