index	macroprestazione	testo	testo_pulito	testo_corretto	cod_valoremedio_liquidazione	descr_cod_valoremedio_liquidazione
17823	procedure clinico assistenziali	gestione catetere vescicale	gestione catetere vescicale	gestione catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17825	procedure clinico assistenziali	gestione catetere vescicale	gestione catetere vescicale	gestione catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17826	procedure clinico assistenziali	gestione cateteri vescicali	gestione cateteri vescicali	gestione catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17827	procedure clinico assistenziali	gestione cateteri vescicali	gestione cateteri vescicali	gestione catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17829	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione picc	gestione picc	gestione peripherally inserted central catheter	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17830	procedure clinico assistenziali	gestione e cambio catetere vescicale	gestione e cambio catetere vescicale	gestione e cambio catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17833	procedure clinico assistenziali	Cambi catetere	cambi catetere	cambio catetere	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17834	procedure clinico assistenziali	Cambio catetere	cambio catetere	cambio catetere	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17835	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi venosi periferici	gestione accessi venosi periferici	gestione accesso venoso periferico	020T	Perfusione - incanulazione di una vena superficiale delle membra o picranica con ago o catetere venoso periferico
17836	Medicazione semplice	Fasciature elastocompressive e non	fasciature elastocompressive e non	fasciatura elastocompressivo e non	023T	Bendaggio semplice
17837	procedure clinico assistenziali	gestione cateteri vescicali	gestione cateteri vescicali	gestione catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17843	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapia endovenosa	terapia endovenosa	terapia endovenoso	016T	Somministrazione dei medicinali prescritti per via parenterale
17844	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione terapia infusionale ev e sottocute	gestione terapia infusionale ev e sottocute	gestione terapia infusionale endovena e sotto cutanea	016T	Somministrazione dei medicinali prescritti per via parenterale
17845	procedure clinico assistenziali	gestione cateterismo vescicale	gestione cateterismo vescicale	gestione cateterismo vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17846	procedure clinico assistenziali	gestione catetere vescicale	gestione catetere vescicale	gestione catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17849	procedure clinico assistenziali	Gestione catetere vescicale	gestione catetere vescicale	gestione catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17850	procedure clinico assistenziali	gestione peg	gestione peg	gestione gastrostomia endoscopica percutanea	055T	Preparazione e somministrazione di alimenti speciali attraverso sonda gastrica K> mediante pompa enterale (anche nel bambino).
17851	procedure clinico assistenziali	gestione cateterismo vescicale	gestione cateterismo vescicale	gestione cateterismo vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17853	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	posizionamento accessi venosi	posizionamento accessi venosi	posizionamento accesso venoso	020T	Perfusione - incanulazione di una vena superficiale delle membra o picranica con ago o catetere venoso periferico
17854	procedure clinico assistenziali	Gestione peg	gestione peg	gestione gastrostomia endoscopica percutanea	055T	Preparazione e somministrazione di alimenti speciali attraverso sonda gastrica K> mediante pompa enterale (anche nel bambino).
17855	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo venoso	prelievo venoso	prelievo venoso	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
17856	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	idratazione ev,ipodermoclisi	idratazione ev ipodermoclisi	idratazione endovena ipodermoclisi	016T	Somministrazione dei medicinali prescritti per via parenterale
17859	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
17860	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	POSIZIONAMENTO ACESSI VENOSI PERIFERICI	posizionamento acessi venosi periferici	posizionamento accesso venoso periferico	020T	Perfusione - incanulazione di una vena superficiale delle membra o picranica con ago o catetere venoso periferico
17861	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi domiciliari	prelievi domiciliari	prelievo domiciliare	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
17862	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione terapia endovenosa	gestione terapia endovenosa	gestione terapia endovenoso	016T	Somministrazione dei medicinali prescritti per via parenterale
17864	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	GESTIONE CVC	gestione cvc	gestione catetere venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17866	procedure clinico assistenziali	GESTIONE CATETERE VESCICALE	gestione catetere vescicale	gestione catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17868	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
17869	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione AVC /AVP	gestione avc  avp	gestione accesso venoso centrale accesso venoso periferico	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17872	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo domiciliare	prelievo domiciliare	prelievo domiciliare	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
17873	procedure clinico assistenziali	gestione cateterismo vescicale	gestione cateterismo vescicale	gestione cateterismo vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17874	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapia infusionale	terapia infusionale	terapia infusionale	016T	Somministrazione dei medicinali prescritti per via parenterale
17876	procedure clinico assistenziali	Cateteri vescicali	cateteri vescicali	catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17877	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accesso venosi periferici	gestione accesso venosi periferici	gestione accesso venoso periferico	020T	Perfusione - incanulazione di una vena superficiale delle membra o picranica con ago o catetere venoso periferico
17878	procedure clinico assistenziali	gestione peg	gestione peg	gestione gastrostomia endoscopica percutanea	055T	Preparazione e somministrazione di alimenti speciali attraverso sonda gastrica K> mediante pompa enterale (anche nel bambino).
17879	procedure clinico assistenziali	Cambio catetere vescicale	cambio catetere vescicale	cambio catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17881	Medicazioni Avanzate	medicazione complessa	medicazione complessa	medicazione complesso	032T	Medicazione complessa
17882	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione accessi venosi centrali	gestione accessi venosi centrali	gestione accesso venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17884	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestioni infusioni	gestioni infusioni	gestione infusione	016T	Somministrazione dei medicinali prescritti per via parenterale
17886	procedure clinico assistenziali	gestione catetere vescicale	gestione catetere vescicale	gestione catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17889	procedure clinico assistenziali	bendaggi	bendaggi	bendaggio	023T	Bendaggio semplice
17890	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gest picc	gest picc	gestione peripherally inserted central catheter	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17891	procedure clinico assistenziali	cv	cv	catetere venoso	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17895	Medicazione semplice	medicazioni ferite chirurgiche	medicazioni ferite chirurgiche	medicazione ferita chirurgico	031T	Medicazione semplice
17896	procedure clinico assistenziali	GESTIONE CATETETERISMO VESCICALE	gestione cateteterismo vescicale	gestione cateterismo vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17897	procedure clinico assistenziali	Mobilizzazione	mobilizzazione	mobilizzazione	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17898	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Medicazioni port e picc	medicazioni port e picc	medicazione port-a-cath e peripherally inserted central catheter	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17901	Medicazione semplice	gestione medicazioni semplici	gestione medicazioni semplici	gestione medicazione semplice	031T	Medicazione semplice
17902	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
17903	Medicazione semplice	fasciatura	fasciatura	fasciatura	023T	Bendaggio semplice
17904	procedure clinico assistenziali	gestione peg	gestione peg	gestione gastrostomia endoscopica percutanea	055T	Preparazione e somministrazione di alimenti speciali attraverso sonda gastrica K> mediante pompa enterale (anche nel bambino).
17908	procedure clinico assistenziali	Gestione peg	gestione peg	gestione gastrostomia endoscopica percutanea	055T	Preparazione e somministrazione di alimenti speciali attraverso sonda gastrica K> mediante pompa enterale (anche nel bambino).
17911	Medicazione semplice	bendaggi compressivi	bendaggi compressivi	bendaggio compressivo	023T	Bendaggio semplice
17914	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione e medicazione picc	gestione e medicazione picc	gestione e medicazione peripherally inserted central catheter	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17917	procedure clinico assistenziali	cateterisco vescicale	cateterisco vescicale	cateterismo vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17918	Monitoraggi e Misurazioni	rilevazione  parametri	rilevazione  parametri	rilevazione parametri	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
17919	procedure clinico assistenziali	CLISTERI EVACUATIVI	clisteri evacuativi	clistere evacuativo	080T	Preparazione ed effettuazione di clistere
17920	procedure clinico assistenziali	cambio e gestione catetere vescicale	cambio e gestione catetere vescicale	cambio e gestione catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17921	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapie infusionali	terapie infusionali	terapia infusionale	016T	Somministrazione dei medicinali prescritti per via parenterale
17923	Educazione Sanitaria	educazione sanitaria alla gestione delle stomie, sng, peg ecc ecc	educazione sanitaria alla gestione delle stomie  sng  peg ecc ecc	educazione sanitario alla gestione delle stomie sondino naso gastrico gastrostomia endoscopica percutanea ecc ecc	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
17926	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
17928	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
17929	procedure clinico assistenziali	GESTIONE CATETERI VESCICALI	gestione cateteri vescicali	gestione catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17931	procedure clinico assistenziali	gestione cateteri venosi centrali	gestione cateteri venosi centrali	gestione catetere venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17932	Medicazione semplice	fasciature	fasciature	fasciatura	023T	Bendaggio semplice
17933	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione accessi venosi periferici	gestione accessi venosi periferici	gestione accesso venoso periferico	020T	Perfusione - incanulazione di una vena superficiale delle membra o picranica con ago o catetere venoso periferico
17934	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	GESTIONE ACCESSI VENOSI CENTRALI	gestione accessi venosi centrali	gestione accesso venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17935	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione picc	gestione picc	gestione peripherally inserted central catheter	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17936	Medicazione semplice	bendaggi elastocompressivi arti inferiori	bendaggi elastocompressivi arti inferiori	bendaggio elastocompressivo arto inferiore	023T	Bendaggio semplice
17938	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione cvc	gestione cvc	gestione catetere venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17939	Medicazioni Avanzate	medicazione complessa	medicazione complessa	medicazione complesso	032T	Medicazione complessa
17940	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestioni accessi venosi centrali	gestioni accessi venosi centrali	gestione accesso venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17941	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione picc	gestione picc	gestione peripherally inserted central catheter	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17946	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi venosi	prelievi venosi	prelievo venoso	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
17947	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi venoso centrali	gestione accessi venoso centrali	gestione accesso venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17949	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione picc port	gestione picc port	gestione peripherally inserted central catheter port-a-cath	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17950	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	educazione sanitario	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
17953	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione picc	gestione picc	gestione peripherally inserted central catheter	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17954	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapia infusionale	terapia infusionale	terapia infusionale	016T	Somministrazione dei medicinali prescritti per via parenterale
17960	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione accessi venosi periferici	gestione accessi venosi periferici	gestione accesso venoso periferico	020T	Perfusione - incanulazione di una vena superficiale delle membra o picranica con ago o catetere venoso periferico
17961	Medicazione semplice	bendaggi elastocompressivi	bendaggi elastocompressivi	bendaggio elastocompressivo	023T	Bendaggio semplice
17962	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	infusioni per idratazioni	infusioni per idratazioni	infusione per idratazione	016T	Somministrazione dei medicinali prescritti per via parenterale
17964	procedure clinico assistenziali	gestione catetere vescicali	gestione catetere vescicali	gestione catetere vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17965	procedure clinico assistenziali	gestione cateterismi vescicali	gestione cateterismi vescicali	gestione cateterismo vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17966	procedure clinico assistenziali	gestione peg	gestione peg	gestione gastrostomia endoscopica percutanea	055T	Preparazione e somministrazione di alimenti speciali attraverso sonda gastrica K> mediante pompa enterale (anche nel bambino).
17967	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	GESTIONE CV	gestione cv	gestione catetere venoso	020T	Perfusione - incanulazione di una vena superficiale delle membra o picranica con ago o catetere venoso periferico
17969	procedure clinico assistenziali	gestione catetere venoso centrale	gestione catetere venoso centrale	gestione catetere venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17971	procedure clinico assistenziali	gestione PEG	gestione peg	gestione gastrostomia endoscopica percutanea	055T	Preparazione e somministrazione di alimenti speciali attraverso sonda gastrica K> mediante pompa enterale (anche nel bambino).
17974	procedure clinico assistenziali	c.v	c v	c v	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17975	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapia endovenosa	terapia endovenosa	terapia endovenoso	016T	Somministrazione dei medicinali prescritti per via parenterale
17985	Medicazione semplice	bendaggi elastocompressivi	bendaggi elastocompressivi	bendaggio elastocompressivo	023T	Bendaggio semplice
17987	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione picc cvc	gestione picc cvc	gestione peripherally inserted central catheter catetere venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
17988	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapia infusionale	terapia infusionale	terapia infusionale	016T	Somministrazione dei medicinali prescritti per via parenterale
17989	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	educazione sanitario	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
17990	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapie endovenose	terapie endovenose	terapia endovenoso	016T	Somministrazione dei medicinali prescritti per via parenterale
17994	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	esecuzione terapia endovenosa (npt, reidratante, farmaci)	esecuzione terapia endovenosa  npt  reidratante  farmaci 	esecuzione terapia endovenoso nutrizione parenterale totale reidratante farmaco	016T	Somministrazione dei medicinali prescritti per via parenterale
17996	procedure clinico assistenziali	gestione cateterismo vescicale	gestione cateterismo vescicale	gestione cateterismo vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
17997	Medicazione semplice	fasciature semplici	fasciature semplici	fasciatura semplice	023T	Bendaggio semplice
17999	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi venosi	prelievi venosi	prelievo venoso	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
18000	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	infusione endovenosa	infusione endovenosa	infusione endovenoso	016T	Somministrazione dei medicinali prescritti per via parenterale
18001	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione di cateteri venosi centrali	gestione di cateteri venosi centrali	gestione di catetere venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
18002	Medicazione semplice	Bendaggio elasto-compressivo	bendaggio elasto compressivo	bendaggio elastocompressivo compressivo	023T	Bendaggio semplice
18003	Educazione Sanitaria	Educazione  sanitaria care giver	educazione  sanitaria care giver	educazione sanitario caregiver caregiver	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
18004	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi venosi	gestione accessi venosi	gestione accesso venoso	020T	Perfusione - incanulazione di una vena superficiale delle membra o picranica con ago o catetere venoso periferico
18005	procedure clinico assistenziali	Gestione peg	gestione peg	gestione gastrostomia endoscopica percutanea	055T	Preparazione e somministrazione di alimenti speciali attraverso sonda gastrica K> mediante pompa enterale (anche nel bambino).
18006	Medicazioni Avanzate	Medicazioni complesse	medicazioni complesse	medicazione complesso	023T	Bendaggio semplice
18010	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione e medicazione accessi venosi centrali	gestione e medicazione accessi venosi centrali	gestione e medicazione accesso venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
18011	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
18012	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
18015	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	educazione sanitario	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
18020	Medicazione semplice	medicazione	medicazione	medicazione	031T	Medicazione semplice
18021	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione accessi venosi centrali	gestione accessi venosi centrali	gestione accesso venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
18025	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
18026	procedure clinico assistenziali	gestione npt sng peg	gestione npt sng peg	gestione nutrizione parenterale totale sondino naso gastrico gastrostomia endoscopica percutanea	055T	Preparazione e somministrazione di alimenti speciali attraverso sonda gastrica K> mediante pompa enterale (anche nel bambino).
18027	procedure clinico assistenziali	gestione peg	gestione peg	gestione gastrostomia endoscopica percutanea	055T	Preparazione e somministrazione di alimenti speciali attraverso sonda gastrica K> mediante pompa enterale (anche nel bambino).
18030	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione Port	gestione port	gestione port-a-cath	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
18031	Educazione Sanitaria	educazione del care giver alla corretta gestione del paziente	educazione del care giver alla corretta gestione del paziente	educazione del caregiver caregiver alla corretto gestione del paziente	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
18032	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapie infusionali liquidi e emoderivati	terapie infusionali liquidi e emoderivati	terapia infusionale liquido e emoderivato	016T	Somministrazione dei medicinali prescritti per via parenterale
18033	procedure clinico assistenziali	cambio peg	cambio peg	cambio gastrostomia endoscopica percutanea	055T	Preparazione e somministrazione di alimenti speciali attraverso sonda gastrica K> mediante pompa enterale (anche nel bambino).
18034	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione accessi venosi centrali-picc	gestione accessi venosi centrali picc	gestione accesso venoso centrale peripherally inserted central catheter	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
18035	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione accessi venosi centrali	gestione accessi venosi centrali	gestione accesso venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
18036	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	accessi endovenosi	accessi endovenosi	accesso endovenoso	020T	Perfusione - incanulazione di una vena superficiale delle membra o picranica con ago o catetere venoso periferico
18039	Educazione Sanitaria	educazione care giver	educazione care giver	educazione caregiver caregiver	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
18042	Medicazione semplice	medicazione accessi venosi centrali	medicazione accessi venosi centrali	medicazione accesso venoso centrale	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
18043	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapia infusionale	terapia infusionale	terapia infusionale	016T	Somministrazione dei medicinali prescritti per via parenterale
18044	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
18045	procedure clinico assistenziali	cv	cv	catetere venoso	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
18048	Educazione Sanitaria	educazione alla gestione del cateterismo vescicale	educazione alla gestione del cateterismo vescicale	educazione alla gestione del cateterismo vescicale	065T	Assistenza ordinaria ad un paziente portatore di catetere vescicale
18049	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione PICC , MEDLINE, PORT ( lavaggio+ medicazione)	gestione picc   medline  port   lavaggio  medicazione 	gestione peripherally inserted central catheter midline port-a-cath lavaggio medicazione	007T	Misurazione della pressione venosa centrale, sorveglianza di cateter venosi centrali e di altri accessi vascolari impiantati da un medico.
